Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
37,36,NYJ,Breece Hall,RB,21,2024.0,0,0,2,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,512.0,2333.0,14.0,152.0,1292.0,8.0,1.0,,,Iowa St.,http://www.sports-reference.com/cfb/players/breece-hall-1.html,36.0,82.0,734.0,9.0,6.0,20.4,718.0,3933.0,5.5,50.0,109.3,800.0,4667.0,5.8,56.0,,,,,,,,,,,,,
42,41,SEA,Kenneth Walker III,RB,21,2024.0,0,0,3,20.0,20.0,41.0,0.0,0.0,0.0,0.0,0.0,600.0,2528.0,24.0,102.0,723.0,2.0,1.0,,,Michigan St.,http://www.sports-reference.com/cfb/players/kenneth-walker-iii-1.html,33.0,19.0,136.0,7.2,1.0,4.1,480.0,2794.0,5.8,35.0,84.7,499.0,2930.0,5.9,36.0,,,,,,,,,,,,,
64,63,BUF,James Cook,RB,22,2024.0,0,2,2,28.0,28.0,49.0,0.0,0.0,0.0,0.0,0.0,533.0,2638.0,20.0,97.0,883.0,7.0,1.0,,,Georgia,http://www.sports-reference.com/cfb/players/james-cook-2.html,50.0,67.0,730.0,10.9,6.0,14.6,230.0,1503.0,6.5,14.0,30.1,297.0,2233.0,7.5,20.0,,,,,,,,,,,,,
92,91,TAM,Rachaad White,RB,23,2024.0,0,0,2,21.0,21.0,50.0,0.0,0.0,0.0,0.0,0.0,545.0,2084.0,10.0,165.0,1232.0,11.0,4.0,,,Arizona St.,http://www.sports-reference.com/cfb/players/rachaad-white-1.html,15.0,51.0,607.0,11.9,2.0,40.5,224.0,1426.0,6.4,20.0,95.1,275.0,2033.0,7.4,22.0,,,,,,,,,,,,,
94,93,SFO,Tyrion Davis-Price,RB,21,2024.0,0,0,0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,43.0,127.0,0.0,0.0,0.0,0.0,,,,LSU,http://www.sports-reference.com/cfb/players/tyrion-davis-price-1.html,35.0,28.0,185.0,6.6,0.0,5.3,379.0,1744.0,4.6,15.0,49.8,407.0,1929.0,4.7,15.0,,,,,,,,,,,,,
99,98,WAS,Brian Robinson Jr.,RB,23,2024.0,0,0,3,16.0,16.0,41.0,0.0,0.0,0.0,0.0,0.0,570.0,2329.0,15.0,65.0,587.0,5.0,1.0,,,Alabama,http://www.sports-reference.com/cfb/players/brian-robinson-jr-1.html,66.0,52.0,446.0,8.6,2.0,6.8,545.0,2704.0,5.0,29.0,41.0,597.0,3150.0,5.3,31.0,,,,,,,,,,,,,
108,107,HOU,Dameon Pierce,RB,22,2024.0,0,0,1,12.0,12.0,38.0,0.0,0.0,0.0,0.0,0.0,405.0,1648.0,8.0,45.0,268.0,1.0,1.0,,,Florida,http://www.sports-reference.com/cfb/players/dameon-pierce-1.html,50.0,45.0,422.0,9.4,5.0,8.4,329.0,1806.0,5.5,23.0,36.1,374.0,2228.0,6.0,28.0,,,,,,,,,,,,,
123,122,LVR,Zamir White,RB,22,2024.0,0,0,0,5.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,186.0,704.0,2.0,21.0,128.0,0.0,1.0,,,Georgia,http://www.sports-reference.com/cfb/players/zamir-white-1.html,38.0,17.0,132.0,7.8,0.0,3.5,382.0,2043.0,5.3,25.0,53.8,399.0,2175.0,5.5,25.0,,,,,,,,,,,,,
124,123,LAC,Isaiah Spiller,RB,21,2023.0,0,0,0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,55.0,137.0,0.0,9.0,47.0,0.0,,,,Texas A&M,http://www.sports-reference.com/cfb/players/isaiah-spiller-1.html,35.0,74.0,585.0,7.9,1.0,16.7,541.0,2993.0,5.5,25.0,85.5,615.0,3578.0,5.8,26.0,,,,,,,,,,,,,
132,131,TEN,Hassan Haskins,RB,22,2024.0,0,0,0,2.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,59.0,182.0,2.0,14.0,106.0,1.0,11.0,,,Michigan,http://www.sports-reference.com/cfb/players/hassan-haskins-1.html,36.0,24.0,171.0,7.1,0.0,4.8,452.0,2324.0,5.1,30.0,64.6,476.0,2495.0,5.2,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
152,151,ATL,Tyler Allgeier,RB,22,2024.0,0,0,0,16.0,16.0,50.0,0.0,0.0,0.0,0.0,0.0,533.0,2362.0,10.0,47.0,420.0,2.0,4.0,,,BYU,http://www.sports-reference.com/cfb/players/tyler-allgeier-1.html,41.0,46.0,437.0,9.5,1.0,10.7,452.0,2904.0,6.4,36.0,70.8,498.0,3341.0,6.7,37.0,,,,,,,,,,,,,
155,154,JAX,Snoop Conner,RB,22,2022.0,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,42.0,1.0,0.0,0.0,0.0,1.0,,,Mississippi,http://www.sports-reference.com/cfb/players/snoop-conner-1.html,35.0,32.0,225.0,7.0,0.0,6.4,304.0,1580.0,5.2,26.0,45.1,336.0,1805.0,5.4,26.0,,,,,,,,,,,,,
157,156,CLE,Jerome Ford,RB,22,2024.0,0,0,1,10.0,10.0,44.0,0.0,0.0,0.0,0.0,0.0,316.0,1390.0,7.0,81.0,544.0,5.0,1.0,,,Cincinnati,http://www.sports-reference.com/cfb/players/jerome-ford-1.html,32.0,31.0,282.0,9.1,1.0,8.8,318.0,1953.0,6.1,30.0,61.0,349.0,2235.0,6.4,31.0,,,,,,,,,,,,,
165,164,LAR,Kyren Williams,RB,22,2024.0,0,1,2,20.0,20.0,38.0,0.0,0.0,0.0,0.0,0.0,579.0,2582.0,26.0,75.0,464.0,5.0,2.0,,,Notre Dame,http://www.sports-reference.com/cfb/players/kyren-williams-1.html,28.0,78.0,675.0,8.7,4.0,24.1,419.0,2153.0,5.1,27.0,76.9,497.0,2828.0,5.7,31.0,,,,,,,,,,,,,
170,169,MIN,Ty Chandler,RB,24,2024.0,0,0,0,6.0,6.0,37.0,0.0,0.0,0.0,0.0,0.0,164.0,663.0,3.0,27.0,201.0,0.0,3.0,,,North Carolina,http://www.sports-reference.com/cfb/players/ty-chandler-1.html,59.0,73.0,681.0,9.3,4.0,11.5,603.0,3138.0,5.2,26.0,53.2,676.0,3819.0,5.6,30.0,,,,,,,,,,,,,
