Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
56,55,ARI,Trey McBride,TE,22,2024.0,0,1,3,20.0,20.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,221.0,2236.0,6.0,7.0,,,Colorado St.,http://www.sports-reference.com/cfb/players/trey-mcbride-1.html,40.0,164.0,2100.0,12.8,10.0,52.5,3.0,72.0,24.0,1.0,1.8,167.0,2172.0,13.0,11.0,,,,,,,,,,,,,
74,73,IND,Jelani Woods,TE,23,2022.0,0,0,0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,312.0,3.0,1.0,,,Virginia,http://www.sports-reference.com/cfb/players/jelani-woods-1.html,45.0,75.0,959.0,12.8,12.0,21.3,2.0,6.0,3.0,0.0,0.1,77.0,965.0,12.5,12.0,,,,,,,,,,,,,
81,80,DEN,Greg Dulcich,TE,22,2024.0,0,0,0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,464.0,2.0,,,,UCLA,http://www.sports-reference.com/cfb/players/greg-dulcich-1.html,33.0,77.0,1353.0,17.6,11.0,41.0,0.0,0.0,,0.0,0.0,77.0,1353.0,17.6,11.0,,,,,,,,,,,,,
102,101,NYJ,Jeremy Ruckert,TE,22,2024.0,0,0,1,2.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,264.0,0.0,3.0,,,Ohio St.,http://www.sports-reference.com/cfb/players/jeremy-ruckert-1.html,44.0,54.0,615.0,11.4,12.0,14.0,0.0,0.0,,0.0,0.0,54.0,615.0,11.4,12.0,,,,,,,,,,,,,
107,106,TAM,Cade Otton,TE,23,2024.0,0,0,3,13.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,148.0,1446.0,10.0,5.0,,,Washington,http://www.sports-reference.com/cfb/players/cade-otton-1.html,39.0,91.0,1026.0,11.3,9.0,26.3,0.0,0.0,,0.0,0.0,91.0,1026.0,11.3,9.0,,,,,,,,,,,,,
113,112,NYG,Daniel Bellinger,TE,21,2024.0,0,0,2,6.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,69.0,648.0,2.0,2.0,,,San Diego St.,http://www.sports-reference.com/cfb/players/daniel-bellinger-1.html,43.0,68.0,771.0,11.3,5.0,17.9,2.0,-4.0,-2.0,0.0,-0.1,70.0,767.0,11.0,5.0,,,,,,,,,,,,,
129,128,BAL,Charlie Kolar,TE,23,2024.0,0,0,0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,20.0,267.0,2.0,5.0,,,Iowa St.,http://www.sports-reference.com/cfb/players/charlie-kolar-1.html,49.0,168.0,2181.0,13.0,23.0,44.5,0.0,0.0,,0.0,0.0,168.0,2181.0,13.0,23.0,,,,,,,,,,,,,
130,129,DAL,Jake Ferguson,TE,23,2024.0,0,1,2,15.0,15.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,1429.0,7.0,1.0,,,Wisconsin,http://www.sports-reference.com/cfb/players/jake-ferguson-1.html,47.0,145.0,1618.0,11.2,13.0,34.4,0.0,0.0,,0.0,0.0,145.0,1618.0,11.2,13.0,,,,,,,,,,,,,
140,139,BAL,Isaiah Likely,TE,22,2024.0,0,0,1,12.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1261.0,14.0,4.0,,,Coastal Carolina,http://www.sports-reference.com/cfb/players/isaiah-likely-1.html,48.0,133.0,2050.0,15.4,27.0,42.7,3.0,10.0,3.3,0.0,0.2,136.0,2060.0,15.1,27.0,,,,,,,,,,,,,
144,143,TEN,Chigoziem Okonkwo,TE,22,2024.0,0,0,1,12.0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,138.0,1457.0,6.0,8.0,,,Maryland,http://www.sports-reference.com/cfb/players/chigoziem-okonkwo-1.html,38.0,77.0,717.0,9.3,8.0,18.9,3.0,72.0,24.0,3.0,1.9,80.0,789.0,9.9,11.0,,,,,,,,,,,,,
150,149,WAS,Cole Turner,TE,22,2023.0,0,0,0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,143.0,0.0,1.0,,,Nevada,http://www.sports-reference.com/cfb/players/cole-turner-2.html,45.0,117.0,1370.0,11.7,20.0,30.4,0.0,0.0,,0.0,0.0,117.0,1370.0,11.7,20.0,,,,,,,,,,,,,
171,170,HOU,Teagan Quitoriano,TE,22,2024.0,0,0,0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,146.0,2.0,2.0,,,Oregon St.,http://www.sports-reference.com/cfb/players/teagan-quitoriano-1.html,42.0,40.0,512.0,12.8,6.0,12.2,0.0,0.0,,0.0,0.0,40.0,512.0,12.8,6.0,,,,,,,,,,,,,
178,177,DET,James Mitchell,TE,23,2024.0,0,0,0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,141.0,1.0,,,,Virginia Tech,http://www.sports-reference.com/cfb/players/james-mitchell-2.html,38.0,52.0,838.0,16.1,7.0,22.1,7.0,9.0,1.3,5.0,0.2,59.0,847.0,14.4,12.0,,,,,,,,,,,,,
199,198,PHI,Grant Calcaterra,TE,23,2024.0,0,0,1,4.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,418.0,1.0,,,,SMU,http://www.sports-reference.com/cfb/players/grant-calcaterra-1.html,45.0,79.0,1102.0,13.9,13.0,24.5,0.0,0.0,,0.0,0.0,79.0,1102.0,13.9,13.0,,,,,,,,,,,,,
209,208,PIT,Connor Heyward,TE,23,2024.0,0,0,0,2.0,2.0,51.0,0.0,1.0,0.0,0.0,0.0,3.0,27.0,0.0,41.0,358.0,2.0,10.0,,,Michigan St.,http://www.sports-reference.com/cfb/players/connor-heyward-1.html,49.0,96.0,711.0,7.4,6.0,14.5,211.0,825.0,3.9,5.0,16.8,307.0,1536.0,5.0,11.0,1.0,2.0,50.0,36.0,0.0,0.0,0.0,0.0,18.0,18.0,36.0,0.7,201.2
214,213,ATL,John FitzPatrick,TE,22,2024.0,0,0,0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,3.0,,,Georgia,http://www.sports-reference.com/cfb/players/john-fitzpatrick-2.html,38.0,17.0,200.0,11.8,1.0,5.3,0.0,0.0,,0.0,0.0,17.0,200.0,11.8,1.0,,,,,,,,,,,,,
219,218,TAM,Ko Kieft,TE,24,2024.0,0,0,1,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,2.0,14.0,,,Minnesota,http://www.sports-reference.com/cfb/players/ko-kieft-1.html,54.0,12.0,166.0,13.8,2.0,3.1,1.0,-2.0,-2.0,0.0,0.0,13.0,164.0,12.6,2.0,,,,,,,,,,,,,
228,227,MIN,Nick Muse,TE,23,2024.0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,,,,South Carolina,http://www.sports-reference.com/cfb/players/nick-muse-1.html,31.0,67.0,805.0,12.0,3.0,26.0,0.0,0.0,,0.0,0.0,67.0,805.0,12.0,3.0,,,,,,,,,,,,,
