,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_rec_yds_per_rec
2,1,CAR,Bryce Young,QB,22,2024,0,0,1,14,14,30,549,911,5280,26,19,82,502,6,0,0,0,,,,Alabama,http://www.sports-reference.com/cfb/players/bryce-young-1.html,35.0,624.0,949.0,65.8,8356.0,80.0,8.4,12.0,1.3,8.8,9.92,13.4,238.7,165.0,139.0,162.0,1.2,7.0,4.6,0.0,0.0,0.0,0.0,139.0,162.0,1.2,7.0,
3,2,HOU,C.J. Stroud,QB,21,2024,0,1,2,24,24,32,655,1031,7835,43,17,91,400,3,1,0,0,,,,Ohio St.,http://www.sports-reference.com/cfb/players/cj-stroud-1.html,27.0,575.0,830.0,69.3,8123.0,85.0,10.2,12.0,1.4,9.8,11.18,14.1,300.9,182.4,80.0,136.0,1.7,1.0,5.0,0.0,0.0,0.0,0.0,80.0,136.0,1.7,1.0,
5,4,IND,Anthony Richardson,QB,21,2024,0,0,1,9,9,15,176,348,2391,11,13,111,635,10,1,-1,0,,,,Florida,http://www.sports-reference.com/cfb/players/anthony-richardson-2.html,24.0,215.0,393.0,54.7,3105.0,24.0,6.1,15.0,3.8,7.9,7.4,14.4,129.4,133.6,161.0,1116.0,6.9,12.0,46.5,0.0,0.0,0.0,0.0,161.0,1116.0,6.9,12.0,
9,8,ATL,Bijan Robinson,RB,21,2024,0,1,2,21,21,34,0,0,0,0,0,518,2432,18,119,918,5,,,,Texas,http://www.sports-reference.com/cfb/players/bijan-robinson-1.html,31.0,,,,,,,,,,,,,,539.0,3410.0,6.3,33.0,110.0,60.0,805.0,8.0,26.0,599.0,4215.0,7.0,41.0,13.4
13,12,DET,Jahmyr Gibbs,RB,21,2024,0,2,0,27,27,32,0,0,0,0,0,432,2357,26,104,833,5,,,,Alabama,http://www.sports-reference.com/cfb/players/jahmyr-gibbs-1.html,31.0,,,,,,,,,,,,,,383.0,2132.0,5.6,15.0,68.8,104.0,1217.0,8.0,39.3,487.0,3349.0,6.9,23.0,11.7
21,20,SEA,Jaxon Smith-Njigba,WR,21,2024,0,1,1,15,15,34,1,1,35,0,0,5,26,0,163,1758,10,,,,Ohio St.,http://www.sports-reference.com/cfb/players/jaxon-smith-njigba-1.html,23.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,110.0,1698.0,10.0,73.8,110.0,1698.0,15.4,10.0,15.4
22,21,LAC,Quentin Johnston,WR,22,2024,0,0,2,11,11,32,0,0,0,0,0,6,15,0,93,1142,10,,,,TCU,http://www.sports-reference.com/cfb/players/quentin-johnston-1.html,32.0,,,,,,,,,,,,,,8.0,8.0,1.0,2.0,0.3,115.0,2190.0,14.0,68.4,123.0,2198.0,17.9,16.0,19.0
23,22,BAL,Zay Flowers,WR,22,2024,0,1,2,20,20,33,0,0,0,0,0,17,112,1,151,1917,9,,,,Boston Col.,http://www.sports-reference.com/cfb/players/zay-flowers-1.html,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,57.0,345.0,6.1,2.0,7.2,200.0,3056.0,29.0,63.7,257.0,3401.0,13.2,31.0,15.3
24,23,MIN,Jordan Addison,WR,21,2024,0,0,2,15,15,32,0,0,0,0,0,4,22,1,133,1786,19,,,,USC,http://www.sports-reference.com/cfb/players/jordan-addison-1.html,35.0,,,,,,,,,,,,,,20.0,147.0,7.4,1.0,4.2,219.0,3134.0,29.0,89.5,239.0,3281.0,13.7,30.0,14.3
26,25,BUF,Dalton Kincaid,TE,23,2024,0,0,2,12,12,29,0,0,0,0,0,0,0,0,117,1121,4,,,,Utah,http://www.sports-reference.com/cfb/players/dalton-kincaid-1.html,31.0,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,0.1,107.0,1414.0,16.0,45.6,108.0,1418.0,13.1,16.0,13.2
34,33,TEN,Will Levis,QB,24,2024,0,0,2,11,11,21,339,556,3899,21,16,70,240,1,0,0,0,,,,Kentucky,http://www.sports-reference.com/cfb/players/will-levis-1.html,39.0,479.0,738.0,64.9,5877.0,46.0,6.2,25.0,3.4,8.0,7.69,12.3,150.7,145.6,312.0,742.0,2.4,17.0,19.0,1.0,15.0,0.0,0.4,313.0,757.0,2.4,17.0,15.0
35,34,DET,Sam LaPorta,TE,22,2024,0,1,2,17,17,33,0,0,0,0,0,1,4,0,146,1615,17,,,,Iowa,http://www.sports-reference.com/cfb/players/sam-laporta-1.html,46.0,,,,,,,,,,,,,,2.0,6.0,3.0,0.0,0.1,153.0,1786.0,5.0,38.8,155.0,1792.0,11.6,5.0,11.7
36,35,LVR,Michael Mayer,TE,22,2024,0,0,1,4,4,25,0,0,0,0,0,0,0,0,48,460,2,,,,Notre Dame,http://www.sports-reference.com/cfb/players/michael-mayer-1.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,180.0,2099.0,18.0,58.3,180.0,2099.0,11.7,18.0,11.7
40,39,CAR,Jonathan Mingo,WR,22,2024,0,0,1,4,4,32,0,0,0,0,0,2,5,0,60,585,0,,,,Mississippi,http://www.sports-reference.com/cfb/players/jonathan-mingo-1.html,41.0,,,,,,,,,,,,,,4.0,-7.0,-1.8,1.0,-0.2,112.0,1758.0,12.0,42.9,116.0,1751.0,15.1,13.0,15.7
43,42,GNB,Luke Musgrave,TE,23,2024,0,0,1,3,3,18,0,0,0,0,0,0,0,0,41,397,1,,,,Oregon St.,http://www.sports-reference.com/cfb/players/luke-musgrave-1.html,34.0,,,,,,,,,,,,,,1.0,-1.0,-1.0,0.0,0.0,47.0,633.0,2.0,18.6,48.0,632.0,13.2,2.0,13.5
51,50,GNB,Jayden Reed,WR,23,2024,0,0,1,18,18,33,0,0,0,0,0,31,282,3,119,1650,14,,,,Michigan St.,http://www.sports-reference.com/cfb/players/jayden-reed-1.html,44.0,1.0,1.0,100.0,25.0,1.0,100.0,0.0,0.0,25.0,45.0,25.0,0.6,640.0,18.0,53.0,2.9,1.0,1.2,203.0,2866.0,26.0,65.1,221.0,2919.0,13.2,27.0,14.1
53,52,SEA,Zach Charbonnet,RB,22,2024,0,0,0,11,11,33,0,0,0,0,0,243,1031,9,75,549,1,1,,,UCLA,http://www.sports-reference.com/cfb/players/zach-charbonnet-1.html,40.0,,,,,,,,,,,,,,566.0,3346.0,5.9,39.0,83.7,75.0,589.0,0.0,14.7,641.0,3935.0,6.1,39.0,7.9
56,55,KAN,Rashee Rice,WR,23,2024,0,0,0,11,11,20,0,0,0,0,0,2,-2,0,103,1226,9,,,,SMU,http://www.sports-reference.com/cfb/players/rashee-rice-1.html,44.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,233.0,3111.0,25.0,70.7,234.0,3111.0,13.3,25.0,13.4
59,58,DAL,Luke Schoonmaker,TE,24,2024,0,0,0,3,3,34,0,0,0,0,0,0,0,0,35,306,3,5,,,Michigan,http://www.sports-reference.com/cfb/players/luke-schoonmaker-1.html,44.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,54.0,637.0,7.0,14.5,54.0,637.0,11.8,7.0,11.8
62,61,JAX,Brenton Strange,TE,22,2024,0,0,1,3,3,31,0,0,0,0,0,0,0,0,45,446,3,1,,,Penn St.,http://www.sports-reference.com/cfb/players/brenton-strange-1.html,37.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,70.0,755.0,11.0,20.4,71.0,755.0,10.6,11.0,10.8
64,63,DEN,Marvin Mims,WR,21,2024,1,2,0,10,10,33,0,0,0,0,0,22,72,0,61,880,7,1,,,Oklahoma,http://www.sports-reference.com/cfb/players/marvin-mims-1.html,37.0,,,,,,,,,,,,,,5.0,35.0,7.0,0.0,0.9,123.0,2398.0,20.0,64.8,128.0,2433.0,19.0,20.0,19.5
