Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_rec_yds_per_rec
9,8,ATL,Bijan Robinson,RB,21,2024.0,0,1,2,21.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,518.0,2432.0,18.0,119.0,918.0,5.0,,,,Texas,http://www.sports-reference.com/cfb/players/bijan-robinson-1.html,31.0,,,,,,,,,,,,,,539.0,3410.0,6.3,33.0,110.0,60.0,805.0,8.0,26.0,599.0,4215.0,7.0,41.0,13.4
13,12,DET,Jahmyr Gibbs,RB,21,2024.0,0,2,0,27.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,432.0,2357.0,26.0,104.0,833.0,5.0,,,,Alabama,http://www.sports-reference.com/cfb/players/jahmyr-gibbs-1.html,31.0,,,,,,,,,,,,,,383.0,2132.0,5.6,15.0,68.8,104.0,1217.0,8.0,39.3,487.0,3349.0,6.9,23.0,11.7
53,52,SEA,Zach Charbonnet,RB,22,2024.0,0,0,0,11.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,243.0,1031.0,9.0,75.0,549.0,1.0,1.0,,,UCLA,http://www.sports-reference.com/cfb/players/zach-charbonnet-1.html,40.0,,,,,,,,,,,,,,566.0,3346.0,5.9,39.0,83.7,75.0,589.0,0.0,14.7,641.0,3935.0,6.1,39.0,7.9
72,71,NOR,Kendre Miller,RB,21,2024.0,0,0,0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,80.0,304.0,2.0,15.0,150.0,0.0,,,,TCU,http://www.sports-reference.com/cfb/players/kendre-miller-1.html,33.0,,,,,,,,,,,,,,361.0,2410.0,6.7,26.0,73.0,29.0,229.0,1.0,6.9,390.0,2639.0,6.8,27.0,7.9
82,81,TEN,Tyjae Spears,RB,22,2024.0,0,0,0,9.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,184.0,765.0,6.0,82.0,609.0,2.0,,,,Tulane,http://www.sports-reference.com/cfb/players/tyjae-spears-1.html,34.0,,,,,,,,,,,,,,427.0,2910.0,6.8,31.0,85.6,48.0,564.0,3.0,16.6,475.0,3474.0,7.3,34.0,11.8
85,84,MIA,De'Von Achane,RB,21,2024.0,0,0,1,18.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,306.0,1707.0,14.0,105.0,789.0,9.0,,,,Texas A&M,http://www.sports-reference.com/cfb/players/devon-achane-1.html,30.0,,,,,,,,,,,,,,369.0,2376.0,6.4,21.0,79.2,65.0,554.0,5.0,18.5,434.0,2930.0,6.8,26.0,8.5
89,88,JAX,Tank Bigsby,RB,22,2024.0,0,0,0,6.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,218.0,898.0,9.0,8.0,60.0,0.0,,,,Auburn,http://www.sports-reference.com/cfb/players/tank-bigsby-1.html,35.0,,,,,,,,,,,,,,541.0,2906.0,5.4,25.0,83.0,62.0,448.0,0.0,12.8,603.0,3354.0,5.6,25.0,7.2
116,115,CHI,Roschon Johnson,RB,22,2024.0,0,0,0,6.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,136.0,502.0,8.0,50.0,313.0,0.0,1.0,,,Texas,http://www.sports-reference.com/cfb/players/roschon-johnson-1.html,47.0,1.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,58.4,392.0,2190.0,5.6,23.0,46.6,56.0,420.0,3.0,8.9,448.0,2610.0,5.8,26.0,7.5
144,143,NYJ,Israel Abanikanda,RB,20,2023.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,70.0,0.0,7.0,43.0,0.0,,,,Pittsburgh,http://www.sports-reference.com/cfb/players/israel-abanikanda-1.html,31.0,,,,,,,,,,,,,,390.0,2177.0,5.6,28.0,70.2,38.0,354.0,3.0,11.4,428.0,2531.0,5.9,31.0,9.3
164,163,CIN,Chase Brown,RB,23,2024.0,0,0,0,13.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,273.0,1169.0,7.0,68.0,516.0,5.0,2.0,,,Illinois,http://www.sports-reference.com/cfb/players/chase-brown-3.html,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,676.0,3558.0,5.3,18.0,72.6,58.0,521.0,3.0,10.6,734.0,4079.0,5.6,21.0,9.0
