Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_rec_yds_per_rec
21,20,SEA,Jaxon Smith-Njigba,WR,21,2024.0,0,1,1,15.0,15.0,34.0,1.0,1.0,35.0,0.0,0.0,5.0,26.0,0.0,163.0,1758.0,10.0,,,,Ohio St.,http://www.sports-reference.com/cfb/players/jaxon-smith-njigba-1.html,23.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,110.0,1698.0,10.0,73.8,110.0,1698.0,15.4,10.0,15.4
22,21,LAC,Quentin Johnston,WR,22,2024.0,0,0,2,11.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,93.0,1142.0,10.0,,,,TCU,http://www.sports-reference.com/cfb/players/quentin-johnston-1.html,32.0,,,,,,,,,,,,,,8.0,8.0,1.0,2.0,0.3,115.0,2190.0,14.0,68.4,123.0,2198.0,17.9,16.0,19.0
23,22,BAL,Zay Flowers,WR,22,2024.0,0,1,2,20.0,20.0,33.0,0.0,0.0,0.0,0.0,0.0,17.0,112.0,1.0,151.0,1917.0,9.0,,,,Boston Col.,http://www.sports-reference.com/cfb/players/zay-flowers-1.html,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,57.0,345.0,6.1,2.0,7.2,200.0,3056.0,29.0,63.7,257.0,3401.0,13.2,31.0,15.3
24,23,MIN,Jordan Addison,WR,21,2024.0,0,0,2,15.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,133.0,1786.0,19.0,,,,USC,http://www.sports-reference.com/cfb/players/jordan-addison-1.html,35.0,,,,,,,,,,,,,,20.0,147.0,7.4,1.0,4.2,219.0,3134.0,29.0,89.5,239.0,3281.0,13.7,30.0,14.3
40,39,CAR,Jonathan Mingo,WR,22,2024.0,0,0,1,4.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,60.0,585.0,0.0,,,,Mississippi,http://www.sports-reference.com/cfb/players/jonathan-mingo-1.html,41.0,,,,,,,,,,,,,,4.0,-7.0,-1.8,1.0,-0.2,112.0,1758.0,12.0,42.9,116.0,1751.0,15.1,13.0,15.7
51,50,GNB,Jayden Reed,WR,23,2024.0,0,0,1,18.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,31.0,282.0,3.0,119.0,1650.0,14.0,,,,Michigan St.,http://www.sports-reference.com/cfb/players/jayden-reed-1.html,44.0,1.0,1.0,100.0,25.0,1.0,100.0,0.0,0.0,25.0,45.0,25.0,0.6,640.0,18.0,53.0,2.9,1.0,1.2,203.0,2866.0,26.0,65.1,221.0,2919.0,13.2,27.0,14.1
56,55,KAN,Rashee Rice,WR,23,2024.0,0,0,0,11.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,103.0,1226.0,9.0,,,,SMU,http://www.sports-reference.com/cfb/players/rashee-rice-1.html,44.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,233.0,3111.0,25.0,70.7,234.0,3111.0,13.3,25.0,13.4
64,63,DEN,Marvin Mims,WR,21,2024.0,1,2,0,10.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,22.0,72.0,0.0,61.0,880.0,7.0,1.0,,,Oklahoma,http://www.sports-reference.com/cfb/players/marvin-mims-1.html,37.0,,,,,,,,,,,,,,5.0,35.0,7.0,0.0,0.9,123.0,2398.0,20.0,64.8,128.0,2433.0,19.0,20.0,19.5
70,69,HOU,Tank Dell,WR,23,2024.0,0,0,1,12.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0,94.0,0.0,98.0,1376.0,10.0,,,,Houston,http://www.sports-reference.com/cfb/players/nathaniel-dell-1.html,35.0,,,,,,,,,,,,,,5.0,14.0,2.8,0.0,0.4,228.0,3155.0,32.0,90.1,233.0,3169.0,13.6,32.0,13.8
74,73,NYG,Jalin Hyatt,WR,21,2024.0,0,0,0,3.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,435.0,0.0,,,,Tennessee,http://www.sports-reference.com/cfb/players/jalin-hyatt-1.html,35.0,,,,,,,,,,,,,,3.0,13.0,4.3,0.0,0.4,108.0,1769.0,19.0,50.5,111.0,1782.0,16.1,19.0,16.4
75,74,CLE,Cedric Tillman,WR,23,2024.0,0,0,0,4.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,50.0,563.0,3.0,,,,Tennessee,http://www.sports-reference.com/cfb/players/cedric-tillman-1.html,44.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,109.0,1622.0,17.0,36.9,109.0,1622.0,14.9,17.0,14.9
80,79,IND,Josh Downs,WR,22,2024.0,0,0,1,14.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,140.0,1574.0,7.0,,,,North Carolina,http://www.sports-reference.com/cfb/players/josh-downs-2.html,34.0,,,,,,,,,,,,,,1.0,-3.0,-3.0,0.0,-0.1,202.0,2483.0,22.0,73.0,203.0,2480.0,12.2,22.0,12.3
95,94,ARI,Michael Wilson,WR,23,2024.0,0,0,2,11.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,85.0,1113.0,7.0,,,,Stanford,http://www.sports-reference.com/cfb/players/michael-wilson-3.html,39.0,,,,,,,,,,,,,,6.0,55.0,9.2,0.0,1.4,134.0,1662.0,11.0,42.6,140.0,1717.0,12.3,11.0,12.4
101,100,LVR,Tre Tucker,WR,22,2024.0,0,0,1,7.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,19.0,121.0,1.0,66.0,870.0,5.0,2.0,,,Cincinnati,http://www.sports-reference.com/cfb/players/tre-tucker-1.html,50.0,,,,,,,,,,,,,,15.0,138.0,9.2,0.0,2.8,111.0,1425.0,8.0,28.5,126.0,1563.0,12.4,8.0,12.8
126,125,LAC,Derius Davis,WR,22,2024.0,0,0,0,3.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,26.0,140.0,0.0,28.0,178.0,2.0,,,,TCU,http://www.sports-reference.com/cfb/players/derius-davis-1.html,58.0,,,,,,,,,,,,,,28.0,183.0,6.5,2.0,3.2,112.0,1513.0,9.0,26.1,140.0,1696.0,12.1,11.0,13.5
132,131,CIN,Charlie Jones,WR,24,2024.0,0,0,0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,8.0,69.0,0.0,,,,Purdue,http://www.sports-reference.com/cfb/players/charlie-jones-7.html,49.0,,,,,,,,,,,,,,11.0,49.0,4.5,0.0,1.0,149.0,2079.0,18.0,42.4,160.0,2128.0,13.3,18.0,14.0
134,133,CHI,Tyler Scott,WR,21,2024.0,0,0,0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,0.0,18.0,173.0,0.0,1.0,,,Cincinnati,http://www.sports-reference.com/cfb/players/tyler-scott-3.html,35.0,,,,,,,,,,,,,,1.0,20.0,20.0,0.0,0.6,87.0,1439.0,14.0,41.1,88.0,1459.0,16.6,14.0,16.5
151,150,BUF,Justin Shorter,WR,23,2024.0,0,0,0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Florida,http://www.sports-reference.com/cfb/players/justin-shorter-1.html,48.0,,,,,,,,,,,,,,1.0,9.0,9.0,0.0,0.2,110.0,1552.0,8.0,32.3,111.0,1561.0,14.1,8.0,14.1
160,159,GNB,Dontayvion Wicks,WR,22,2024.0,0,0,0,10.0,10.0,32.0,1.0,1.0,14.0,0.0,0.0,1.0,1.0,0.0,78.0,996.0,9.0,,,,Virginia,http://www.sports-reference.com/cfb/players/dontayvion-wicks-1.html,30.0,1.0,3.0,33.3,18.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,0.6,83.7,0.0,0.0,,0.0,0.0,90.0,1694.0,12.0,56.5,90.0,1694.0,18.8,12.0,18.8
178,177,LAR,Puka Nacua,WR,22,2024.0,0,1,1,23.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,23.0,135.0,1.0,184.0,2476.0,9.0,,,,BYU,http://www.sports-reference.com/cfb/players/puka-nacua-1.html,32.0,,,,,,,,,,,,,,39.0,357.0,9.2,5.0,11.2,107.0,1749.0,14.0,54.7,146.0,2106.0,14.4,19.0,16.3
186,185,JAX,Parker Washington,WR,21,2024.0,0,0,0,5.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,522.0,5.0,,,,Penn St.,http://www.sports-reference.com/cfb/players/parker-washington-1.html,32.0,,,,,,,,,,,,,,4.0,20.0,5.0,0.0,0.6,146.0,1920.0,12.0,60.0,150.0,1940.0,12.9,12.0,13.2
188,187,NWE,Kayshon Boutte,WR,21,2024.0,0,0,1,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,608.0,3.0,,,,LSU,http://www.sports-reference.com/cfb/players/kayshon-boutte-1.html,27.0,,,,,,,,,,,,,,1.0,41.0,41.0,0.0,1.5,131.0,1781.0,16.0,66.0,132.0,1822.0,13.8,16.0,13.6
192,191,TAM,Trey Palmer,WR,22,2024.0,0,0,0,6.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,51.0,557.0,4.0,,,,Nebraska,http://www.sports-reference.com/cfb/players/trey-palmer-1.html,40.0,,,,,,,,,,,,,,7.0,75.0,10.7,0.0,1.9,112.0,1501.0,12.0,37.5,119.0,1576.0,13.2,12.0,13.4
196,195,NOR,A.T. Perry,WR,23,2023.0,0,0,0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,246.0,4.0,,,,Wake Forest,http://www.sports-reference.com/cfb/players/at-perry-1.html,43.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,171.0,2662.0,28.0,61.9,171.0,2662.0,15.6,28.0,15.6
198,197,MIA,Elijah Higgins,WR,22,2024.0,0,0,0,4.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,335.0,3.0,1.0,,,Stanford,http://www.sports-reference.com/cfb/players/elijah-higgins-1.html,39.0,,,,,,,,,,,,,,4.0,48.0,12.0,0.0,1.2,119.0,1380.0,6.0,35.4,123.0,1428.0,11.6,6.0,11.6
206,205,HOU,Xavier Hutchinson,WR,23,2024.0,0,0,0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,0.0,20.0,207.0,0.0,3.0,,,Iowa St.,http://www.sports-reference.com/cfb/players/xavier-hutchinson-1.html,37.0,1.0,2.0,50.0,49.0,1.0,50.0,0.0,0.0,24.5,34.5,49.0,1.3,420.8,2.0,18.0,9.0,0.0,0.5,254.0,2929.0,15.0,79.2,256.0,2947.0,11.5,15.0,11.5
211,210,NWE,Demario Douglas,WR,22,2024.0,0,0,0,9.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,0.0,115.0,1182.0,3.0,,,,Liberty,http://www.sports-reference.com/cfb/players/demario-douglas-1.html,40.0,,,,,,,,,,,,,,7.0,109.0,15.6,1.0,2.7,172.0,2193.0,16.0,54.8,179.0,2302.0,12.9,17.0,12.8
220,219,DET,Antoine Green,WR,23,2023.0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,North Carolina,http://www.sports-reference.com/cfb/players/antoine-green-1.html,47.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,90.0,1710.0,15.0,36.4,90.0,1710.0,19.0,15.0,19.0
245,244,DAL,Jalen Brooks,WR,23,2024.0,0,0,0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,241.0,1.0,3.0,,,South Carolina,http://www.sports-reference.com/cfb/players/jalen-brooks-2.html,24.0,,,,,,,,,,,,,,4.0,51.0,12.8,1.0,2.1,58.0,785.0,2.0,32.7,62.0,836.0,13.5,3.0,13.5
254,253,SFO,Ronnie Bell,WR,23,2024.0,0,0,0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,90.0,3.0,2.0,,,Michigan,http://www.sports-reference.com/cfb/players/ronnie-bell-3.html,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,30.0,3.3,1.0,0.6,145.0,2269.0,9.0,48.3,154.0,2299.0,14.9,10.0,15.6
