,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_year_id,Coll_pos,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_awards,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
2,1,CHI,Caleb Williams,QB,22,2024,0,0,1,12,12,17,351,562,3541,20,6,81,489,0,0,0,0,,,,USC,http://www.sports-reference.com/cfb/players/caleb-williams-3.html,Career,,37,735,1099,66.9,10082,93,8.5,14,1.3,9.2,10.29,13.7,272.5,169.3,,289,966,3.3,27,26.1,1,13,13.0,0,0.4,290,979,3.4,27
3,2,WAS,Jayden Daniels,QB,23,2024,0,1,1,20,20,17,331,480,3568,25,9,148,891,6,0,0,0,,,,LSU,http://www.sports-reference.com/cfb/players/jayden-daniels-1.html,Career,,55,953,1438,66.3,12749,89,6.2,20,1.4,8.9,9.48,13.4,231.8,158.4,,617,3307,5.4,34,60.1,1,5,5.0,1,0.1,618,3312,5.4,35
4,3,NWE,Drake Maye,QB,22,2024,0,1,1,8,8,13,225,338,2276,15,10,54,421,2,0,0,0,,,,North Carolina,http://www.sports-reference.com/cfb/players/drake-maye-1.html,Career,,30,618,952,64.9,8018,63,6.6,16,1.7,8.4,8.99,13.0,267.3,154.1,,302,1209,4.0,16,40.3,0,0,,0,0.0,302,1209,4.0,16
5,4,ARI,Marvin Harrison Jr.,WR,22,2024,0,0,1,8,8,17,0,0,0,0,0,0,0,0,62,885,8,,,,Ohio St.,http://www.sports-reference.com/cfb/players/marvin-harrison-jr-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,NYG,Malik Nabers,WR,21,2024,0,1,1,9,9,15,0,1,0,0,0,5,2,0,109,1204,7,,,,LSU,http://www.sports-reference.com/cfb/players/malik-nabers-1.html,Career,,38,2,2,100.0,50,1,50.0,0,0.0,25.0,35.00,25.0,1.3,475.0,,,,,,,,,,,,,,,
9,8,ATL,Michael Penix,QB,24,2024,0,0,0,2,2,5,61,105,775,3,3,7,11,1,0,0,0,,,,Washington,http://www.sports-reference.com/cfb/players/michael-penix-jr-1.html,Career,,48,1067,1685,63.3,13741,96,5.7,34,2.0,8.2,8.39,12.9,286.3,146.6,,134,265,2.0,13,5.5,0,-39,,0,-0.8,134,226,1.7,13
10,9,CHI,Rome Odunze,WR,22,2024,0,0,1,6,6,17,0,0,0,0,0,3,15,0,54,734,3,,,,Washington,http://www.sports-reference.com/cfb/players/rome-odunze-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,MIN,J.J. McCarthy,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,http://www.sports-reference.com/cfb/players/jj-mccarthy-1.html,Career,,40,482,713,67.6,6226,49,6.9,11,1.5,8.7,9.41,12.9,155.7,160.5,,161,632,3.9,10,15.8,0,0,,0,0.0,161,632,3.9,10
13,12,DEN,Bo Nix,QB,24,2024,0,0,1,13,13,17,376,567,3775,29,12,92,430,4,1,2,1,,,,Oregon,http://www.sports-reference.com/cfb/players/bo-nix-1.html,Career,,61,1286,1936,66.4,15351,113,5.8,26,1.3,7.9,8.49,11.9,251.7,149.6,,405,1613,4.0,38,26.4,2,36,18.0,1,0.6,407,1649,4.1,39
14,13,LVR,Brock Bowers,TE,21,2024,1,1,1,9,9,17,0,0,0,0,0,5,13,0,112,1194,5,,,,Georgia,http://www.sports-reference.com/cfb/players/brock-bowers-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
