Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
2,1,CHI,Caleb Williams,QB,22,2024.0,0,0,1,12.0,12.0,17.0,351.0,562.0,3541.0,20.0,6.0,81.0,489.0,0.0,0.0,0.0,0.0,,,,USC,http://www.sports-reference.com/cfb/players/caleb-williams-3.html,37.0,735.0,1099.0,66.9,10082.0,93.0,8.5,14.0,1.3,9.2,10.29,13.7,272.5,169.3,289.0,966.0,3.3,27.0,26.1,1.0,13.0,13.0,0.0,0.4,290.0,979.0,3.4,27.0
3,2,WAS,Jayden Daniels,QB,23,2024.0,0,1,1,20.0,20.0,17.0,331.0,480.0,3568.0,25.0,9.0,148.0,891.0,6.0,0.0,0.0,0.0,,,,LSU,http://www.sports-reference.com/cfb/players/jayden-daniels-1.html,55.0,953.0,1438.0,66.3,12749.0,89.0,6.2,20.0,1.4,8.9,9.48,13.4,231.8,158.4,617.0,3307.0,5.4,34.0,60.1,1.0,5.0,5.0,1.0,0.1,618.0,3312.0,5.4,35.0
4,3,NWE,Drake Maye,QB,22,2024.0,0,1,1,8.0,8.0,13.0,225.0,338.0,2276.0,15.0,10.0,54.0,421.0,2.0,0.0,0.0,0.0,,,,North Carolina,http://www.sports-reference.com/cfb/players/drake-maye-1.html,30.0,618.0,952.0,64.9,8018.0,63.0,6.6,16.0,1.7,8.4,8.99,13.0,267.3,154.1,302.0,1209.0,4.0,16.0,40.3,0.0,0.0,,0.0,0.0,302.0,1209.0,4.0,16.0
9,8,ATL,Michael Penix,QB,24,2024.0,0,0,0,2.0,2.0,5.0,61.0,105.0,775.0,3.0,3.0,7.0,11.0,1.0,0.0,0.0,0.0,,,,Washington,http://www.sports-reference.com/cfb/players/michael-penix-jr-1.html,48.0,1067.0,1685.0,63.3,13741.0,96.0,5.7,34.0,2.0,8.2,8.39,12.9,286.3,146.6,134.0,265.0,2.0,13.0,5.5,0.0,-39.0,,0.0,-0.8,134.0,226.0,1.7,13.0
11,10,MIN,J.J. McCarthy,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,http://www.sports-reference.com/cfb/players/jj-mccarthy-1.html,40.0,482.0,713.0,67.6,6226.0,49.0,6.9,11.0,1.5,8.7,9.41,12.9,155.7,160.5,161.0,632.0,3.9,10.0,15.8,0.0,0.0,,0.0,0.0,161.0,632.0,3.9,10.0
13,12,DEN,Bo Nix,QB,24,2024.0,0,0,1,13.0,13.0,17.0,376.0,567.0,3775.0,29.0,12.0,92.0,430.0,4.0,1.0,2.0,1.0,,,,Oregon,http://www.sports-reference.com/cfb/players/bo-nix-1.html,61.0,1286.0,1936.0,66.4,15351.0,113.0,5.8,26.0,1.3,7.9,8.49,11.9,251.7,149.6,405.0,1613.0,4.0,38.0,26.4,2.0,36.0,18.0,1.0,0.6,407.0,1649.0,4.1,39.0
151,150,NOR,Spencer Rattler,QB,23,2024.0,0,0,0,2.0,2.0,7.0,130.0,228.0,1317.0,4.0,5.0,18.0,146.0,0.0,0.0,0.0,0.0,,,,South Carolina,http://www.sports-reference.com/cfb/players/spencer-rattler-1.html,48.0,900.0,1313.0,68.5,10807.0,77.0,5.9,32.0,2.4,8.2,8.31,12.0,225.1,152.2,297.0,410.0,1.4,16.0,8.5,1.0,15.0,15.0,0.0,0.3,298.0,425.0,1.4,16.0
172,171,NYJ,Jordan Travis,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,http://www.sports-reference.com/cfb/players/jordan-travis-1.html,49.0,637.0,1027.0,62.0,8715.0,66.0,6.4,20.0,1.9,8.5,8.89,13.7,177.9,150.6,417.0,1950.0,4.7,31.0,39.8,3.0,12.0,4.0,1.0,0.2,420.0,1962.0,4.7,32.0
194,193,NWE,Joe Milton,QB,24,2024.0,0,0,0,1.0,1.0,1.0,22.0,29.0,241.0,1.0,0.0,10.0,16.0,1.0,0.0,0.0,0.0,,,,Tennessee,http://www.sports-reference.com/cfb/players/joe-milton-2.html,43.0,400.0,649.0,61.6,5353.0,37.0,5.7,11.0,1.7,8.2,8.63,13.4,124.5,146.3,174.0,661.0,3.8,12.0,15.4,1.0,6.0,6.0,0.0,0.1,175.0,667.0,3.8,12.0
219,218,BAL,Devin Leary,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Kentucky,http://www.sports-reference.com/cfb/players/devin-leary-1.html,43.0,777.0,1315.0,59.1,9553.0,87.0,6.6,28.0,2.1,7.3,7.63,12.3,222.2,137.7,178.0,-81.0,-0.5,6.0,-1.9,1.0,-4.0,-4.0,0.0,-0.1,179.0,-85.0,-0.5,6.0
246,245,GNB,Michael Pratt,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,http://www.sports-reference.com/cfb/players/michael-pratt-1.html,46.0,729.0,1203.0,60.6,9602.0,90.0,7.5,26.0,2.2,8.0,8.51,13.2,208.7,148.0,447.0,1145.0,2.6,28.0,24.9,0.0,0.0,,1.0,0.0,447.0,1145.0,2.6,29.0
