Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Kyle Juszczyk,FB,29,16,15,0,0,0,0,0,17,64,3.76,2,29,19,202,10.63,4,1.0,0,6,,,63.0,81.6,84.6,72.1,,60,,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anthony Firkser,FB,25,16,1,0,0,0,0,0,0,0,,0,53,39,387,9.92,1,0.0,0,1,,,45.0,83.7,86.7,64.2,,73,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
C.J. Ham,FB,27,15,11,0,0,0,0,0,5,18,3.6,0,13,8,97,12.13,1,0.0,0,1,,,18.0,25.5,25.5,21.5,,99,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Alec Ingold,FB,24,16,4,0,0,0,0,0,3,4,1.33,0,17,12,110,9.17,1,0.0,0,1,,,17.0,29.4,32.4,23.4,,100,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabe Nabers,FB,23,16,5,0,0,0,0,0,2,7,3.5,0,7,5,25,5.0,2,0.0,0,2,,,15.0,20.2,20.2,17.7,,105,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jakob Johnson,FB,26,16,11,0,0,0,0,0,0,0,,0,9,8,35,4.38,1,1.0,0,1,,,10.0,17.5,17.5,13.5,,118,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Reggie Gilliam,FB,23,14,0,0,0,0,0,0,0,0,,0,2,2,16,8.0,1,0.0,0,1,,,8.0,9.6,9.6,8.6,,125,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Patrick Ricard,FB,26,15,10,0,0,0,0,0,1,-1,-1.0,0,12,9,45,5.0,1,1.0,1,1,,,8.0,17.4,18.4,12.9,,122,,2020,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Keith Smith,FB,28,16,7,0,0,0,0,0,4,7,1.75,0,15,11,59,5.36,0,0.0,0,0,,,7.0,17.6,17.6,12.1,,130,,2020,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Michael Burton,FB,28,15,4,0,0,0,0,0,7,18,2.57,0,4,4,28,7.0,0,0.0,0,0,,,5.0,8.6,8.6,6.6,,136,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Khari Blasingame,FB,24,15,7,0,0,0,0,0,0,0,,0,5,4,39,9.75,0,0.0,0,0,,,4.0,7.9,7.9,5.9,,138,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Alex Armah,FB,26,16,1,0,0,0,0,0,6,9,1.5,0,9,5,18,3.6,0,0.0,0,0,,,3.0,7.7,7.7,5.2,,143,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nick Bellore,FB,31,16,0,0,0,0,0,0,1,5,5.0,0,1,1,9,9.0,0,0.0,0,0,,,1.0,2.4,2.4,1.9,,150,,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Jake Bargas,FB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,0.0,0.0,0.0,0.0,,162,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Darius Bradwell,FB,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,0.0,0.0,0.0,0.0,,164,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruce Miller,FB,33,8,5,0,0,0,0,0,0,0,,0,2,1,2,2.0,0,0.0,0,0,,,0.0,1.2,1.2,0.7,,161,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Johnny Stanton,FB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,0.0,0.0,0.0,0.0,,174,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Derek Watt,FB,28,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0.0,0,0,,,0.0,0.0,0.0,0.0,,176,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Derrick Henry,RB,26,16,16,0,0,0,0,0,378,2027,5.36,17,31,19,114,6.0,0,3.0,2,17,1.0,,314.0,333.1,341.1,323.6,184.0,1,1.0,2020,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Alvin Kamara,RB,25,15,10,0,0,0,0,0,187,932,4.98,16,107,83,756,9.11,5,1.0,0,21,,,295.0,377.8,383.8,336.3,165.0,2,2.0,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
