Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Travis Kelce,TE,31,15,15,1,2,4,0,0,0,0,,0,145,105,1416,13.49,11,1.0,1,11,1.0,,208.0,312.8,316.8,260.3,117.0,1,5.0,2020,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darren Waller,TE,28,16,15,0,0,0,0,0,0,0,,0,145,107,1196,11.18,9,2.0,2,9,1.0,,172.0,278.6,283.6,225.1,81.0,2,15.0,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Taysom Hill,TE,30,16,8,88,121,928,4,2,87,457,5.25,8,12,8,98,12.25,1,10.0,5,9,,,149.0,156.6,169.6,154.6,58.0,3,25.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Robert Tonyan,TE,26,16,8,0,0,0,0,0,0,0,,0,59,52,586,11.27,11,0.0,0,11,,,125.0,176.6,179.6,150.6,34.0,4,40.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mark Andrews,TE,25,14,2,0,0,0,0,0,0,0,,0,88,58,701,12.09,7,2.0,0,7,,,112.0,170.1,173.1,141.1,22.0,5,47.0,2020,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T.J. Hockenson,TE,23,16,16,0,0,0,0,0,1,0,0.0,0,101,67,723,10.79,6,1.0,1,6,1.0,,108.0,175.3,179.3,141.8,18.0,6,53.0,2020,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mike Gesicki,TE,25,15,9,0,0,0,0,0,0,0,,0,85,53,703,13.26,6,0.0,0,6,,,106.0,159.3,162.3,132.8,16.0,7,57.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Logan Thomas,TE,29,16,15,1,1,28,0,0,3,5,1.67,0,110,72,670,9.31,6,0.0,0,6,,,105.0,176.6,179.6,140.6,14.0,8,59.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Rob Gronkowski,TE,31,16,16,0,0,0,0,0,0,0,,0,77,45,623,13.84,7,1.0,0,7,,,104.0,149.3,152.3,126.8,14.0,9,60.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Jonnu Smith,TE,25,15,14,0,0,0,0,0,2,4,2.0,1,65,41,448,10.93,8,0.0,0,9,,,99.0,140.2,143.2,119.7,9.0,10,68.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
