Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Davante Adams,WR,28,14,14,0,0,0,0,0,0,0,,0,149,115,1374,11.95,18,1.0,1,18,,,243.0,358.4,362.4,300.9,117.0,1,4.0,2020,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyreek Hill,WR,26,15,15,0,0,0,0,0,13,123,9.46,2,135,87,1276,14.67,15,1.0,0,17,,,242.0,328.9,334.9,285.4,116.0,2,6.0,2020,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stefon Diggs,WR,27,16,15,0,0,0,0,0,1,1,1.0,0,166,127,1535,12.09,8,0.0,0,8,,,202.0,328.6,331.6,265.1,75.0,3,17.0,2020,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Calvin Ridley,WR,26,15,15,0,0,0,0,0,5,1,0.2,0,143,90,1374,15.27,9,1.0,1,9,1.0,,192.0,281.5,285.5,236.5,65.0,4,20.0,2020,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
D.K. Metcalf,WR,23,16,16,0,0,0,0,0,0,0,,0,129,83,1303,15.7,10,1.0,1,10,,,188.0,271.3,275.3,229.8,62.0,5,22.0,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Justin Jefferson,WR,21,16,14,0,0,0,0,0,1,2,2.0,0,125,88,1400,15.91,7,1.0,0,7,2.0,,186.0,274.2,277.2,230.2,60.0,6,24.0,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Adam Thielen,WR,30,15,15,0,0,0,0,0,3,15,5.0,0,108,74,925,12.5,14,0.0,0,14,1.0,,180.0,254.0,257.0,217.0,54.0,7,27.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Mike Evans,WR,27,16,16,0,0,0,0,0,0,0,,0,109,70,1006,14.37,13,0.0,0,13,,,179.0,248.6,251.6,213.6,52.0,8,28.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
A.J. Brown,WR,23,14,12,0,0,0,0,0,0,0,,0,106,70,1075,15.36,11,2.0,1,12,,,178.0,247.5,251.5,212.5,51.0,9,29.0,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
DeAndre Hopkins,WR,28,16,16,0,0,0,0,0,1,1,1.0,0,160,115,1407,12.23,6,3.0,2,6,,,173.0,287.8,292.8,230.3,46.0,10,33.0,2020,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyler Lockett,WR,28,16,16,0,0,0,0,0,0,0,,0,132,100,1054,10.54,10,1.0,0,10,,,165.0,265.4,268.4,215.4,39.0,11,35.0,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Allen Robinson,WR,27,16,16,0,0,0,0,0,1,-1,-1.0,0,151,102,1250,12.25,6,0.0,0,6,,,161.0,262.9,265.9,211.9,35.0,12,39.0,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
