Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Anthony Firkser,FB,26,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,34.0,291.0,8.56,2.0,2.0,1.0,3,,,45.0,79.1,83.1,62.1,,72,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Kyle Juszczyk,FB,30,17,16,0.0,0.0,0.0,0.0,0.0,8.0,22.0,2.75,1.0,38.0,30.0,296.0,9.87,1.0,0.0,0.0,2,,,44.0,73.8,76.8,58.8,,75,,2021,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
C.J. Ham,FB,28,17,8,0.0,0.0,0.0,0.0,0.0,7.0,34.0,4.86,0.0,18.0,17.0,125.0,7.35,0.0,0.0,0.0,0,,,16.0,32.9,35.9,24.4,,108,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Alec Ingold,FB,25,9,3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,12.0,10.0,85.0,8.5,1.0,0.0,0.0,1,,,15.0,24.6,24.6,19.6,,111,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Patrick Ricard,FB,27,13,11,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,13.0,8.0,63.0,7.88,1.0,0.0,0.0,1,,,13.0,20.7,20.7,16.7,,114,,2021,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Michael Burton,FB,29,16,0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,3.25,1.0,3.0,3.0,31.0,10.33,0.0,0.0,0.0,1,,,12.0,14.7,14.7,13.2,,117,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Keith Smith,FB,29,17,8,0.0,0.0,0.0,0.0,0.0,9.0,31.0,3.44,0.0,10.0,9.0,56.0,6.22,0.0,0.0,0.0,0,,,9.0,17.7,17.7,13.2,,125,,2021,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alex Armah,FB,27,11,2,0.0,0.0,0.0,0.0,0.0,5.0,21.0,4.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,,,8.0,9.2,9.2,8.7,,126,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chris Myarick,FB,26,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,17.0,5.67,1.0,0.0,0.0,1,,,8.0,10.7,10.7,9.2,,127,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Johnny Stanton,FB,27,4,0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.67,0.0,2.0,2.0,7.0,3.5,1.0,0.0,0.0,1,,,7.0,9.2,9.2,8.2,,128,,2021,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
