Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Mark Andrews,TE,26,17,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.0,107.0,1361.0,12.72,9.0,1.0,0.0,9,2.0,,194.0,301.1,304.1,247.6,96.0,1,9.0,2021,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Travis Kelce,TE,32,16,16,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,1.0,134.0,92.0,1125.0,12.23,9.0,1.0,1.0,10,,,171.0,262.8,266.8,216.8,74.0,2,15.0,2021,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dalton Schultz,TE,25,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104.0,78.0,808.0,10.36,8.0,0.0,0.0,8,1.0,,131.0,208.8,211.8,169.8,37.0,3,35.0,2021,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
George Kittle,TE,28,14,14,0.0,0.0,0.0,0.0,0.0,3.0,20.0,6.67,0.0,94.0,71.0,910.0,12.82,6.0,2.0,1.0,6,,,127.0,198.0,202.0,162.5,33.0,4,37.0,2021,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Taysom Hill,TE,31,12,9,78.0,134.0,978.0,4.0,5.0,70.0,374.0,5.34,5.0,6.0,4.0,52.0,13.0,0.0,2.0,0.0,5,,,118.0,121.7,132.7,124.7,24.0,5,48.0,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Rob Gronkowski,TE,32,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.0,55.0,802.0,14.58,6.0,0.0,0.0,6,,,116.0,171.2,174.2,143.7,23.0,6,49.0,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Dawson Knox,TE,25,15,14,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,71.0,49.0,587.0,11.98,9.0,0.0,0.0,9,,1.0,115.0,164.1,167.1,139.6,22.0,7,52.0,2021,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hunter Henry,TE,27,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,75.0,50.0,603.0,12.06,9.0,0.0,0.0,9,,,114.0,164.3,167.3,139.3,21.0,8,54.0,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Kyle Pitts,TE,21,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,110.0,68.0,1026.0,15.09,1.0,0.0,0.0,1,,,109.0,176.6,179.6,142.6,16.0,10,59.0,2021,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dallas Goedert,TE,26,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76.0,56.0,830.0,14.82,4.0,1.0,0.0,4,1.0,,109.0,165.0,168.0,137.0,16.0,9,60.0,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
