Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
2,1,JAX,Trevor Lawrence,QB,21,2024.0,0,1,4,39.0,39.0,60.0,1288.0,2034.0,13815.0,69.0,46.0,231.0,1083.0,14.0,0.0,-5.0,0.0,4.0,,,Clemson,http://www.sports-reference.com/cfb/players/trevor-lawrence-1.html,40.0,758.0,1138.0,66.6,10098.0,90.0,7.9,17.0,1.5,8.9,9.78,13.3,252.5,164.3,231.0,943.0,4.1,18.0,23.6,3.0,-4.0,-1.3,0.0,-0.1,234.0,939.0,4.0,18.0
3,2,NYJ,Zach Wilson,QB,22,2023.0,0,0,3,13.0,13.0,34.0,566.0,993.0,6293.0,23.0,25.0,93.0,498.0,5.0,1.0,2.0,1.0,1.0,,,BYU,http://www.sports-reference.com/cfb/players/zach-wilson-3.html,30.0,566.0,837.0,67.6,7652.0,56.0,6.7,15.0,1.8,9.1,9.67,13.5,255.1,162.9,212.0,642.0,3.0,15.0,21.4,3.0,51.0,17.0,0.0,1.7,215.0,693.0,3.2,15.0
4,3,SFO,Trey Lance,QB,21,2024.0,0,0,0,5.0,4.0,12.0,81.0,143.0,1063.0,5.0,4.0,65.0,276.0,1.0,0.0,0.0,0.0,1.0,,,North Dakota St.,http://www.sports-reference.com/cfb/players/trey-lance-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,CHI,Justin Fields,QB,22,2024.0,0,0,3,39.0,34.0,50.0,684.0,1119.0,7780.0,45.0,31.0,418.0,2509.0,19.0,0.0,0.0,0.0,,,,Ohio St.,http://www.sports-reference.com/cfb/players/justin-fields-2.html,34.0,423.0,618.0,68.4,5701.0,67.0,10.8,9.0,1.5,9.2,10.74,13.5,167.7,178.8,260.0,1133.0,4.4,19.0,33.3,1.0,-10.0,-10.0,0.0,-0.3,261.0,1123.0,4.3,19.0
16,15,NWE,Mac Jones,QB,23,2024.0,0,1,3,27.0,24.0,52.0,1035.0,1570.0,10590.0,54.0,44.0,145.0,419.0,2.0,0.0,0.0,0.0,1.0,,,Alabama,http://www.sports-reference.com/cfb/players/mac-jones-1.html,39.0,413.0,556.0,74.3,6126.0,56.0,10.1,7.0,1.3,11.0,12.47,14.8,157.1,197.6,54.0,42.0,0.8,2.0,1.1,2.0,-9.0,-4.5,0.0,-0.2,56.0,33.0,0.6,2.0
65,64,TAM,Kyle Trask,QB,23,2024.0,0,0,0,0.0,0.0,7.0,4.0,11.0,28.0,0.0,0.0,6.0,-5.0,0.0,0.0,0.0,0.0,,,,Florida,http://www.sports-reference.com/cfb/players/kyle-trask-1.html,29.0,552.0,813.0,67.9,7386.0,69.0,8.5,15.0,1.8,9.1,9.95,13.4,254.7,168.5,132.0,54.0,0.4,8.0,1.9,1.0,4.0,4.0,0.0,0.1,133.0,58.0,0.4,8.0
67,66,MIN,Kellen Mond,QB,22,2021.0,0,0,0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Texas A&M,http://www.sports-reference.com/cfb/players/kellen-mond-1.html,47.0,801.0,1358.0,59.0,9661.0,71.0,5.2,27.0,2.0,7.1,7.27,12.1,205.6,132.0,438.0,1608.0,3.7,22.0,34.2,0.0,0.0,,0.0,0.0,438.0,1608.0,3.7,22.0
68,67,HOU,Davis Mills,QB,22,2024.0,0,0,2,15.0,15.0,38.0,593.0,948.0,6167.0,35.0,25.0,55.0,172.0,2.0,0.0,0.0,0.0,2.0,,,Stanford,http://www.sports-reference.com/cfb/players/davis-mills-1.html,14.0,287.0,438.0,65.5,3468.0,18.0,4.1,8.0,1.8,7.9,7.92,12.1,247.7,141.9,63.0,86.0,1.4,3.0,6.1,1.0,8.0,8.0,1.0,0.6,64.0,94.0,1.5,4.0
134,133,NOR,Ian Book,QB,23,2021.0,0,0,0,0.0,0.0,1.0,12.0,20.0,135.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,,,,Notre Dame,http://www.sports-reference.com/cfb/players/ian-book-1.html,48.0,728.0,1141.0,63.8,8948.0,72.0,6.3,20.0,1.8,7.8,8.32,12.3,186.4,147.0,360.0,1518.0,4.2,17.0,31.6,0.0,0.0,,0.0,0.0,360.0,1518.0,4.2,17.0
219,218,IND,Sam Ehlinger,QB,22,2023.0,0,0,0,2.0,2.0,8.0,64.0,101.0,573.0,3.0,3.0,20.0,96.0,0.0,0.0,0.0,0.0,,,,Texas,http://www.sports-reference.com/cfb/players/sam-ehlinger-1.html,46.0,923.0,1476.0,62.5,11436.0,94.0,6.4,27.0,1.8,7.7,8.2,12.4,248.6,145.0,554.0,1907.0,3.4,33.0,41.5,9.0,115.0,12.8,0.0,2.5,563.0,2022.0,3.6,33.0
