Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
185,184,BAL,Ben Mason,FB,22,2023.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,http://www.sports-reference.com/cfb/players/ben-mason-1.html,45.0,,,,,,,,,,,,,,37.0,87.0,2.4,9.0,1.9,3.0,32.0,10.7,1.0,0.7,40.0,119.0,3.0,10.0
25,24,PIT,Najee Harris,RB,23,2024.0,0,1,4,29.0,29.0,68.0,1.0,1.0,4.0,0.0,0.0,1097.0,4312.0,28.0,180.0,1149.0,6.0,4.0,,,Alabama,http://www.sports-reference.com/cfb/players/najee-harris-1.html,55.0,,,,,,,,,,,,,,638.0,3843.0,6.0,46.0,69.9,80.0,781.0,9.8,11.0,14.2,718.0,4624.0,6.4,57.0
26,25,JAX,Travis Etienne,RB,22,2024.0,0,0,3,24.0,24.0,49.0,0.0,0.0,0.0,0.0,0.0,637.0,2691.0,18.0,132.0,1046.0,1.0,,,,Clemson,http://www.sports-reference.com/cfb/players/travis-etienne-1.html,55.0,1.0,1.0,100.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.4,293.2,686.0,4952.0,7.2,70.0,90.0,102.0,1155.0,11.3,8.0,21.0,788.0,6107.0,7.8,78.0
36,35,DEN,Javonte Williams,RB,21,2024.0,0,0,2,20.0,20.0,54.0,0.0,0.0,0.0,0.0,0.0,606.0,2394.0,11.0,158.0,966.0,5.0,1.0,,,North Carolina,http://www.sports-reference.com/cfb/players/javonte-williams-1.html,35.0,,,,,,,,,,,,,,366.0,2297.0,6.3,29.0,65.6,50.0,539.0,10.8,4.0,15.4,416.0,2836.0,6.8,33.0
89,88,SFO,Trey Sermon,RB,22,2024.0,0,0,0,4.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,134.0,505.0,3.0,22.0,138.0,0.0,1.0,,,Ohio St.,http://www.sports-reference.com/cfb/players/trey-sermon-1.html,45.0,1.0,1.0,100.0,42.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,0.9,452.8,455.0,2946.0,6.5,26.0,65.5,48.0,486.0,10.1,3.0,10.8,503.0,3432.0,6.8,29.0
108,107,NYJ,Michael Carter,RB,22,2024.0,0,0,2,12.0,11.0,48.0,0.0,0.0,0.0,0.0,0.0,326.0,1359.0,8.0,112.0,771.0,1.0,1.0,,,North Carolina,http://www.sports-reference.com/cfb/players/michael-carter-5.html,44.0,,,,,,,,,,,,,,514.0,3403.0,6.6,22.0,77.3,82.0,656.0,8.0,6.0,14.9,596.0,4059.0,6.8,28.0
120,119,MIN,Kene Nwangwu,RB,23,2024.0,0,0,0,4.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,27.0,88.0,0.0,6.0,30.0,0.0,5.0,,,Iowa St.,http://www.sports-reference.com/cfb/players/kene-nwangwu-1.html,50.0,,,,,,,,,,,,,,143.0,744.0,5.2,4.0,14.9,7.0,57.0,8.1,0.0,1.1,150.0,801.0,5.3,4.0
121,120,NWE,Rhamondre Stevenson,RB,23,2024.0,0,0,2,22.0,22.0,56.0,0.0,0.0,0.0,0.0,0.0,706.0,3066.0,21.0,154.0,950.0,2.0,3.0,,,Oklahoma,http://www.sports-reference.com/cfb/players/rhamondre-stevenson-1.html,19.0,,,,,,,,,,,,,,165.0,1180.0,7.2,13.0,62.1,28.0,298.0,10.6,0.0,15.7,193.0,1478.0,7.7,13.0
127,126,CAR,Chuba Hubbard,RB,22,2024.0,0,0,2,23.0,23.0,64.0,0.0,0.0,0.0,0.0,0.0,755.0,3175.0,22.0,121.0,749.0,2.0,4.0,,,Oklahoma St.,http://www.sports-reference.com/cfb/players/chuba-hubbard-1.html,33.0,,,,,,,,,,,,,,585.0,3459.0,5.9,33.0,104.8,53.0,479.0,9.0,3.0,14.5,638.0,3938.0,6.2,36.0
151,150,PHI,Kenneth Gainwell,RB,22,2024.0,0,0,0,16.0,16.0,66.0,1.0,1.0,17.0,0.0,0.0,280.0,1185.0,12.0,102.0,721.0,1.0,5.0,,,Memphis,http://www.sports-reference.com/cfb/players/kenny-gainwell-1.html,18.0,,,,,,,,,,,,,,235.0,1550.0,6.6,14.0,86.1,57.0,662.0,11.6,3.0,36.8,292.0,2212.0,7.6,17.0
195,194,SFO,Elijah Mitchell,RB,23,2023.0,0,0,0,11.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,327.0,1523.0,9.0,28.0,158.0,1.0,,,,Louisiana,http://www.sports-reference.com/cfb/players/elijah-mitchell-2.html,43.0,,,,,,,,,,,,,,526.0,3259.0,6.2,41.0,75.8,49.0,597.0,12.2,5.0,13.9,575.0,3856.0,6.7,46.0
197,196,NYG,Gary Brightwell,RB,22,2024.0,0,0,0,1.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,41.0,164.0,1.0,11.0,92.0,0.0,3.0,,,Arizona,http://www.sports-reference.com/cfb/players/gary-brightwell-1.html,40.0,,,,,,,,,,,,,,245.0,1305.0,5.3,9.0,32.6,19.0,121.0,6.4,1.0,3.0,264.0,1426.0,5.4,10.0
199,198,LAC,Larry Rountree,RB,22,2022.0,0,0,0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,49.0,106.0,1.0,3.0,13.0,0.0,,,,Missouri,http://www.sports-reference.com/cfb/players/larry-rountree-iii-1.html,48.0,,,,,,,,,,,,,,746.0,3720.0,5.0,40.0,77.5,47.0,289.0,6.1,0.0,6.0,793.0,4009.0,5.1,40.0
203,202,CIN,Chris Evans,RB,23,2023.0,0,0,0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,19.0,89.0,0.0,19.0,188.0,3.0,6.0,,,Michigan,http://www.sports-reference.com/cfb/players/chris-evans-2.html,43.0,,,,,,,,,,,,,,320.0,1795.0,5.6,15.0,41.7,49.0,479.0,9.8,2.0,11.1,369.0,2274.0,6.2,17.0
212,211,CLE,Demetric Felton,RB,23,2022.0,0,0,0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,20.0,189.0,2.0,3.0,,,UCLA,http://www.sports-reference.com/cfb/players/demetric-felton-1.html,41.0,,,,,,,,,,,,,,233.0,1101.0,4.7,7.0,26.9,99.0,958.0,9.7,8.0,23.4,332.0,2059.0,6.2,15.0
218,217,CHI,Khalil Herbert,RB,23,2024.0,0,0,1,13.0,12.0,56.0,0.0,0.0,0.0,0.0,0.0,400.0,1905.0,9.0,53.0,312.0,2.0,6.0,,,Virginia Tech,http://www.sports-reference.com/cfb/players/khalil-herbert-1.html,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,474.0,2917.0,6.2,22.0,63.4,33.0,293.0,8.9,1.0,6.4,507.0,3210.0,6.3,23.0
234,233,LAR,Jake Funk,RB,23,2023.0,0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,1.0,12.0,0.0,1.0,,,Maryland,http://www.sports-reference.com/cfb/players/jake-funk-1.html,36.0,1.0,1.0,100.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.1,125.2,135.0,968.0,7.2,10.0,26.9,23.0,134.0,5.8,3.0,3.7,158.0,1102.0,7.0,13.0
