Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
5,4,ATL,Kyle Pitts,TE,20,2024.0,0,1,4,21.0,21.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,196.0,2651.0,10.0,3.0,,,Florida,http://www.sports-reference.com/cfb/players/kyle-pitts-1.html,32.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,100.0,1492.0,14.9,18.0,46.6,100.0,1492.0,14.9,18.0
56,55,PIT,Pat Freiermuth,TE,22,2024.0,0,0,2,18.0,18.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,2190.0,18.0,2.0,,,Penn St.,http://www.sports-reference.com/cfb/players/pat-freiermuth-1.html,30.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,92.0,1185.0,12.9,16.0,39.5,92.0,1185.0,12.9,16.0
82,81,MIA,Hunter Long,TE,23,2024.0,0,0,0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,68.0,0.0,3.0,,,Boston Col.,http://www.sports-reference.com/cfb/players/hunter-long-3.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,89.0,1297.0,14.6,9.0,36.0,89.0,1297.0,14.6,9.0
84,83,CAR,Tommy Tremble,TE,21,2024.0,0,0,1,6.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,85.0,782.0,9.0,7.0,,,Notre Dame,http://www.sports-reference.com/cfb/players/tommy-tremble-1.html,25.0,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,0.2,35.0,396.0,11.3,4.0,15.8,36.0,400.0,11.1,4.0
98,97,LAC,Tre' McKitty,TE,22,2023.0,0,0,0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,0.0,2.0,,,Georgia,http://www.sports-reference.com/cfb/players/tre-mckitty-1.html,42.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,56.0,628.0,11.2,3.0,15.0,56.0,628.0,11.2,3.0
125,124,WAS,John Bates,TE,23,2024.0,0,0,0,5.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,592.0,2.0,5.0,,,Boise St.,http://www.sports-reference.com/cfb/players/john-bates-1.html,46.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,47.0,579.0,12.3,2.0,12.6,47.0,579.0,12.3,2.0
128,127,IND,Kylen Granson,TE,23,2024.0,0,0,0,8.0,8.0,62.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,86.0,958.0,1.0,9.0,,,SMU,http://www.sports-reference.com/cfb/players/kylen-granson-1.html,39.0,,,,,,,,,,,,,,13.0,103.0,7.9,0.0,2.6,129.0,1879.0,14.6,16.0,48.2,142.0,1982.0,14.0,16.0
146,145,JAX,Luke Farrell,TE,23,2024.0,0,0,0,2.0,2.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,318.0,0.0,4.0,,,Ohio St.,http://www.sports-reference.com/cfb/players/luke-farrell-1.html,43.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,34.0,380.0,11.2,4.0,8.8,34.0,380.0,11.2,4.0
148,147,HOU,Brevin Jordan,TE,21,2024.0,0,0,0,4.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,532.0,5.0,1.0,,,Miami (FL),http://www.sports-reference.com/cfb/players/brevin-jordan-1.html,31.0,1.0,1.0,100.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.5,226.0,3.0,1.0,0.3,0.0,0.0,105.0,1358.0,12.9,13.0,43.8,108.0,1359.0,12.6,13.0
163,162,KAN,Noah Gray,TE,22,2024.0,0,0,2,10.0,10.0,67.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,1.0,103.0,1077.0,9.0,4.0,,,Duke,http://www.sports-reference.com/cfb/players/noah-gray-1.html,48.0,1.0,1.0,100.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.2,192.4,2.0,3.0,1.5,0.0,0.1,105.0,948.0,9.0,8.0,19.8,107.0,951.0,8.9,8.0
