Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
6,5,CIN,Ja'Marr Chase,WR,21,2024.0,1,4,4,48.0,48.0,62.0,1.0,1.0,-7.0,0.0,0.0,18.0,55.0,0.0,395.0,5425.0,46.0,6.0,,,LSU,http://www.sports-reference.com/cfb/players/jamarr-chase-1.html,27.0,,,,,,,,,,,,,,1.0,5.0,5.0,0.0,0.2,107.0,2093.0,19.6,23.0,77.5,108.0,2098.0,19.4,23.0
7,6,MIA,Jaylen Waddle,WR,22,2024.0,0,0,4,34.0,34.0,62.0,0.0,0.0,0.0,0.0,0.0,12.0,53.0,1.0,309.0,4129.0,20.0,4.0,,,Alabama,http://www.sports-reference.com/cfb/players/jaylen-waddle-1.html,34.0,,,,,,,,,,,,,,4.0,17.0,4.3,0.0,0.5,106.0,1999.0,18.9,17.0,58.8,110.0,2016.0,18.3,17.0
11,10,PHI,DeVonta Smith,WR,22,2024.0,0,0,4,40.0,40.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,308.0,4011.0,27.0,1.0,,,Alabama,http://www.sports-reference.com/cfb/players/devonta-smith-1.html,54.0,,,,,,,,,,,,,,4.0,6.0,1.5,1.0,0.1,235.0,3965.0,16.9,46.0,73.4,239.0,3971.0,16.6,47.0
21,20,NYG,Kadarius Toney,WR,22,2024.0,0,0,0,7.0,3.0,35.0,1.0,4.0,19.0,0.0,0.0,23.0,115.0,1.0,82.0,760.0,3.0,1.0,,,Florida,http://www.sports-reference.com/cfb/players/kadarius-toney-1.html,38.0,3.0,6.0,50.0,82.0,1.0,16.7,0.0,0.0,13.7,17.0,27.3,2.2,219.8,66.0,580.0,8.8,2.0,15.3,120.0,1590.0,13.3,12.0,41.8,186.0,2170.0,11.7,14.0
28,27,BAL,Rashod Bateman,WR,21,2024.0,0,0,2,18.0,18.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,138.0,1923.0,13.0,,,,Minnesota,http://www.sports-reference.com/cfb/players/rashod-bateman-1.html,31.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,147.0,2395.0,16.3,19.0,77.3,147.0,2395.0,16.3,19.0
35,34,NYJ,Elijah Moore,WR,21,2024.0,0,0,3,14.0,7.0,61.0,0.0,0.0,0.0,0.0,0.0,20.0,71.0,1.0,200.0,2162.0,9.0,4.0,,,Mississippi,http://www.sports-reference.com/cfb/players/elijah-moore-1.html,32.0,1.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,116.8,21.0,71.0,3.4,0.0,2.2,189.0,2441.0,12.9,16.0,76.3,210.0,2512.0,12.0,16.0
50,49,ARI,Rondale Moore,WR,21,2023.0,0,0,0,12.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,52.0,249.0,1.0,135.0,1201.0,3.0,1.0,,,Purdue,http://www.sports-reference.com/cfb/players/rondale-moore-1.html,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,248.0,8.3,3.0,12.4,178.0,1915.0,10.8,14.0,95.8,208.0,2163.0,10.4,17.0
57,56,SEA,D'Wayne Eskridge,WR,24,2024.0,0,0,0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0.0,20.0,166.0,1.0,1.0,,,Western Michigan,http://www.sports-reference.com/cfb/players/dwayne-eskridge-1.html,45.0,,,,,,,,,,,,,,11.0,100.0,9.1,0.0,2.2,122.0,2260.0,18.5,15.0,50.2,133.0,2360.0,17.7,15.0
58,57,LAR,Tutu Atwell,WR,21,2024.0,0,0,1,12.0,12.0,54.0,0.0,1.0,0.0,0.0,0.0,16.0,72.0,1.0,99.0,1343.0,4.0,,,,Louisville,http://www.sports-reference.com/cfb/players/chatarius-atwell-1.html,34.0,1.0,4.0,25.0,33.0,1.0,25.0,0.0,0.0,8.3,13.25,33.0,1.0,176.8,11.0,22.0,2.0,1.0,0.6,140.0,2307.0,16.5,21.0,67.9,151.0,2329.0,15.4,22.0
60,59,CAR,Terrace Marshall Jr.,WR,21,2024.0,0,0,1,6.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,808.0,1.0,1.0,,,LSU,http://www.sports-reference.com/cfb/players/terrace-marshall-jr-1.html,32.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,106.0,1594.0,15.0,23.0,49.8,106.0,1594.0,15.0,23.0
78,77,LAC,Josh Palmer,WR,21,2024.0,0,0,1,19.0,19.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,182.0,2287.0,10.0,2.0,,,Tennessee,http://www.sports-reference.com/cfb/players/josh-palmer-1.html,47.0,,,,,,,,,,,,,,8.0,37.0,4.6,1.0,0.8,99.0,1514.0,15.3,7.0,32.2,107.0,1551.0,14.5,8.0
83,82,WAS,Dyami Brown,WR,21,2024.0,0,0,0,6.0,6.0,63.0,1.0,2.0,4.0,0.0,0.0,6.0,37.0,0.0,59.0,784.0,4.0,4.0,,,North Carolina,http://www.sports-reference.com/cfb/players/dyami-brown-1.html,34.0,1.0,1.0,100.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,0.5,251.2,1.0,2.0,2.0,0.0,0.1,123.0,2306.0,18.7,21.0,67.8,124.0,2308.0,18.6,21.0
86,85,GNB,Amari Rodgers,WR,21,2023.0,0,0,0,2.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,20.0,249.0,1.0,3.0,,,Clemson,http://www.sports-reference.com/cfb/players/amari-rodgers-1.html,55.0,1.0,3.0,33.3,8.0,0.0,0.0,0.0,0.0,2.7,2.67,8.0,0.1,55.7,6.0,46.0,7.7,1.0,0.8,181.0,2144.0,11.8,15.0,39.0,187.0,2190.0,11.7,16.0
90,89,HOU,Nico Collins,WR,22,2024.0,0,1,1,25.0,25.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,218.0,3230.0,18.0,2.0,,,Michigan,http://www.sports-reference.com/cfb/players/nico-collins-1.html,29.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,78.0,1388.0,17.8,13.0,47.9,78.0,1388.0,17.8,13.0
92,91,CLE,Anthony Schwartz,WR,21,2022.0,0,0,0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,96.0,1.0,14.0,186.0,1.0,3.0,,,Auburn,http://www.sports-reference.com/cfb/players/anthony-schwartz-1.html,36.0,,,,,,,,,,,,,,42.0,323.0,7.7,7.0,9.0,117.0,1433.0,12.2,6.0,39.8,159.0,1756.0,11.0,13.0
110,109,TEN,Dez Fitzpatrick,WR,23,2024.0,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,1.0,1.0,,,Louisville,http://www.sports-reference.com/cfb/players/dez-fitzpatrick-1.html,49.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,154.0,2589.0,16.8,21.0,52.8,154.0,2589.0,16.8,21.0
113,112,DET,Amon-Ra St. Brown,WR,21,2024.0,2,3,3,47.0,47.0,66.0,1.0,1.0,7.0,1.0,0.0,22.0,186.0,1.0,430.0,4851.0,33.0,1.0,,,USC,http://www.sports-reference.com/cfb/players/amon-ra-st-brown-1.html,31.0,,,,,,,,,,,,,,9.0,69.0,7.7,1.0,2.2,178.0,2270.0,12.8,16.0,73.2,187.0,2339.0,12.5,17.0
130,129,TAM,Jaelon Darden,WR,22,2024.0,0,0,0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,9.0,75.0,0.0,,,,North Texas,http://www.sports-reference.com/cfb/players/jaelon-darden-1.html,48.0,,,,,,,,,,,,,,7.0,27.0,3.9,0.0,0.6,230.0,2782.0,12.1,38.0,58.0,237.0,2809.0,11.9,38.0
132,131,BAL,Tylan Wallace,WR,22,2024.0,0,0,0,3.0,3.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,260.0,1.0,8.0,,,Oklahoma St.,http://www.sports-reference.com/cfb/players/tylan-wallace-1.html,45.0,2.0,2.0,100.0,21.0,0.0,0.0,0.0,0.0,10.5,10.5,10.5,0.5,188.2,3.0,13.0,4.3,1.0,0.3,205.0,3434.0,16.8,26.0,76.3,208.0,3447.0,16.6,27.0
142,141,LAR,Jacob Harris,WR,24,2023.0,0,0,0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,,,Central Florida,http://www.sports-reference.com/cfb/players/jacob-harris-2.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,49.0,987.0,20.1,9.0,27.4,49.0,987.0,20.1,9.0
158,157,MIN,Ihmir Smith-Marsette,WR,22,2024.0,0,0,0,4.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,9.0,73.0,1.0,14.0,182.0,2.0,1.0,,,Iowa,http://www.sports-reference.com/cfb/players/ihmir-smith-marsette-1.html,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,34.0,274.0,8.1,4.0,6.2,110.0,1615.0,14.7,13.0,36.7,144.0,1889.0,13.1,17.0
