Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
9,8,ATL,Drake London,WR,21,2024.0,0,0,3,25.0,25.0,50.0,1.0,1.0,22.0,0.0,0.0,1.0,-3.0,0.0,241.0,3042.0,15.0,2.0,,,USC,http://www.sports-reference.com/cfb/players/drake-london-1.html,27.0,160.0,2153.0,13.5,15.0,79.7,1.0,2.0,2.0,0.0,0.1,161.0,2155.0,13.4,15.0,,,,,,,,,,,,,
11,10,NYJ,Garrett Wilson,WR,22,2024.0,0,0,3,24.0,24.0,51.0,0.0,2.0,0.0,0.0,0.0,10.0,9.0,0.0,279.0,3249.0,14.0,1.0,,,Ohio St.,http://www.sports-reference.com/cfb/players/garrett-wilson-2.html,33.0,143.0,2213.0,15.5,23.0,67.1,6.0,143.0,23.8,1.0,4.3,149.0,2356.0,15.8,24.0,,,,,,,,,,,,,
12,11,NOR,Chris Olave,WR,22,2024.0,0,0,3,20.0,20.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,191.0,2565.0,10.0,3.0,,,Ohio St.,http://www.sports-reference.com/cfb/players/chris-olave-1.html,47.0,176.0,2711.0,15.4,35.0,57.7,3.0,5.0,1.7,0.0,0.1,179.0,2716.0,15.2,35.0,,,,,,,,,,,,,
13,12,DET,Jameson Williams,WR,21,2024.0,0,0,1,16.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,130.0,2.0,83.0,1396.0,10.0,,,,Alabama,http://www.sports-reference.com/cfb/players/jameson-williams-1.html,34.0,94.0,1838.0,19.6,18.0,54.1,3.0,23.0,7.7,0.0,0.7,97.0,1861.0,19.2,18.0,,,,,,,,,,,,,
17,16,WAS,Jahan Dotson,WR,22,2024.0,0,0,2,11.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,103.0,1257.0,11.0,2.0,,,Penn St.,http://www.sports-reference.com/cfb/players/jahan-dotson-1.html,42.0,183.0,2757.0,15.1,25.0,65.6,8.0,18.0,2.3,1.0,0.4,191.0,2775.0,14.5,26.0,2.0,2.0,100.0,43.0,0.0,0.0,0.0,0.0,21.5,21.5,21.5,1.0,280.6
19,18,TEN,Treylon Burks,WR,22,2024.0,0,0,1,6.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,11.0,66.0,0.0,53.0,699.0,1.0,,,,Arkansas,http://www.sports-reference.com/cfb/players/treylon-burks-1.html,32.0,146.0,2399.0,16.4,18.0,75.0,38.0,222.0,5.8,1.0,6.9,184.0,2621.0,14.2,19.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,28.6,0.0,-12.86,,0.0,-57.1
44,43,NYG,Wan'Dale Robinson,WR,21,2024.0,0,0,0,11.0,11.0,38.0,0.0,0.0,0.0,0.0,0.0,14.0,104.0,1.0,176.0,1451.0,5.0,,,,Kentucky,http://www.sports-reference.com/cfb/players/wandale-robinson-1.html,31.0,195.0,2248.0,11.5,10.0,72.5,141.0,691.0,4.9,4.0,22.3,336.0,2939.0,8.7,14.0,,,,,,,,,,,,,
45,44,HOU,John Metchie,WR,22,2024.0,0,0,0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,40.0,412.0,1.0,1.0,,,Alabama,http://www.sports-reference.com/cfb/players/john-metchie-1.html,39.0,155.0,2081.0,13.4,14.0,53.4,1.0,8.0,8.0,0.0,0.2,156.0,2089.0,13.4,14.0,,,,,,,,,,,,,
51,50,NWE,Tyquan Thornton,WR,21,2024.0,0,0,1,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,67.0,1.0,39.0,385.0,2.0,2.0,,,Baylor,http://www.sports-reference.com/cfb/players/tyquan-thornton-1.html,47.0,143.0,2242.0,15.7,19.0,47.7,3.0,-9.0,-3.0,0.0,-0.2,146.0,2233.0,15.3,19.0,1.0,1.0,100.0,6.0,1.0,100.0,0.0,0.0,6.0,26.0,6.0,0.1,480.4
53,52,PIT,George Pickens,WR,21,2024.0,0,0,3,24.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,1.0,174.0,2841.0,12.0,1.0,,,Georgia,http://www.sports-reference.com/cfb/players/george-pickens-1.html,26.0,90.0,1347.0,15.0,14.0,51.8,0.0,0.0,,0.0,0.0,90.0,1347.0,15.0,14.0,,,,,,,,,,,,,
