Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
2,CeeDee Lamb,DAL,WR,24,17,17,0,0,0,0,0,14,113,8.07,2,181,135,1749,12.96,12,3,2,14,1.0,,268.0,403.2,411.2,335.7,131.0,1,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,113.0,6.0,73.0,5.2,40.0,2.9,6.0,2.3,181.0,135.0,1749.0,80.0,1069.0,7.9,680.0,5.0,9.5,11.0,12.3,6.0,3.3,1.0,124.3,"PB,AP-1,AP OPoY-3",2023
4,Tyreek Hill,MIA,WR,29,16,16,0,0,0,0,0,6,15,2.5,0,171,119,1799,15.12,13,1,1,13,,,257.0,376.4,380.4,316.9,120.0,2,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15.0,2.0,-2.0,-0.3,17.0,2.8,1.0,6.0,171.0,119.0,1799.0,83.0,1147.0,9.6,652.0,5.5,10.8,12.0,9.9,12.0,7.0,5.0,117.1,"PB,AP-1,AP MVP-6,AP OPoY-2",2023
7,Amon-Ra St. Brown,DET,WR,24,16,16,0,0,0,0,0,4,24,6.0,0,164,119,1515,12.73,10,1,1,10,,,212.0,330.9,334.9,271.4,78.0,3,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,24.0,2.0,15.0,3.8,9.0,2.3,0.0,,164.0,119.0,1515.0,75.0,847.0,7.1,668.0,5.6,7.8,10.0,11.9,8.0,4.9,3.0,113.7,"PB,AP-1",2023
9,Mike Evans,TAM,WR,30,17,17,0,0,0,0,0,0,0,,0,136,79,1255,15.89,13,0,0,13,,,204.0,282.5,285.5,243.0,70.0,4,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,79.0,1255.0,54.0,933.0,11.8,322.0,4.1,14.0,2.0,39.5,7.0,5.1,3.0,111.6,"PB,AP-2",2023
14,Puka Nacua,LAR,WR,22,17,17,0,0,0,0,0,12,89,7.42,0,160,105,1486,14.15,6,1,0,6,,,194.0,298.5,301.5,246.0,60.0,5,14.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,89.0,5.0,62.0,5.2,27.0,2.3,2.0,6.0,160.0,105.0,1486.0,68.0,854.0,8.1,632.0,6.0,9.1,7.0,15.0,13.0,8.1,3.0,100.2,"PB,AP-2,AP ORoY-2",2023
15,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,5.25,1,136,96,1364,14.21,8,1,1,9,,,191.0,286.5,290.5,238.5,58.0,6,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,21.0,1.0,21.0,5.3,0.0,0.0,0.0,,136.0,96.0,1364.0,64.0,825.0,8.6,539.0,5.6,10.9,9.0,10.7,4.0,2.9,3.0,113.1,,2023
20,A.J. Brown,PHI,WR,26,17,17,0,0,0,0,0,0,0,,0,158,106,1456,13.74,7,2,2,7,,,184.0,289.6,294.6,236.6,51.0,8,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,106.0,1456.0,70.0,983.0,9.3,473.0,4.5,11.7,12.0,8.8,7.0,4.4,4.0,100.6,"PB,AP-2",2023
21,Deebo Samuel,SFO,WR,27,15,15,0,1,0,0,0,37,225,6.08,5,89,60,892,14.87,7,1,0,12,,,184.0,243.7,249.7,213.7,51.0,7,21.0,,,0.0,1.0,11.0,11.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.6,0.0,0.0,1.0,1.0,100.0,0.0,,3.0,-3.0,1.0,0.0,2.0,-3.0,0.0,0.0,37.0,225.0,13.0,140.0,3.8,85.0,2.3,4.0,9.3,89.0,60.0,892.0,34.0,365.0,6.1,527.0,8.8,6.6,13.0,4.6,2.0,2.2,2.0,116.9,,2023
23,Nico Collins,HOU,WR,24,15,10,0,0,0,0,0,1,7,7.0,0,109,80,1297,16.21,8,1,0,8,1.0,,180.0,260.4,263.4,220.4,48.0,9,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0.0,4.0,4.0,3.0,3.0,0.0,,109.0,80.0,1297.0,53.0,748.0,9.4,549.0,6.9,10.9,16.0,5.0,2.0,1.8,2.0,129.6,,2023
25,Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,0,,0,105,75,1342,17.89,7,1,1,7,,,174.0,249.2,253.2,211.7,42.0,10,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,75.0,1342.0,61.0,960.0,12.8,382.0,5.1,13.8,2.0,37.5,2.0,1.9,3.0,124.0,AP-2,2023
