Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_rec_yds_per_rec
26,25,BUF,Dalton Kincaid,TE,23,2024.0,0,0,2,12.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1121.0,4.0,,,,Utah,http://www.sports-reference.com/cfb/players/dalton-kincaid-1.html,31.0,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,0.1,107.0,1414.0,16.0,45.6,108.0,1418.0,13.1,16.0,13.2
35,34,DET,Sam LaPorta,TE,22,2024.0,0,1,2,17.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,146.0,1615.0,17.0,,,,Iowa,http://www.sports-reference.com/cfb/players/sam-laporta-1.html,46.0,,,,,,,,,,,,,,2.0,6.0,3.0,0.0,0.1,153.0,1786.0,5.0,38.8,155.0,1792.0,11.6,5.0,11.7
36,35,LVR,Michael Mayer,TE,22,2024.0,0,0,1,4.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,460.0,2.0,,,,Notre Dame,http://www.sports-reference.com/cfb/players/michael-mayer-1.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,180.0,2099.0,18.0,58.3,180.0,2099.0,11.7,18.0,11.7
43,42,GNB,Luke Musgrave,TE,23,2024.0,0,0,1,3.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,397.0,1.0,,,,Oregon St.,http://www.sports-reference.com/cfb/players/luke-musgrave-1.html,34.0,,,,,,,,,,,,,,1.0,-1.0,-1.0,0.0,0.0,47.0,633.0,2.0,18.6,48.0,632.0,13.2,2.0,13.5
59,58,DAL,Luke Schoonmaker,TE,24,2024.0,0,0,0,3.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,306.0,3.0,5.0,,,Michigan,http://www.sports-reference.com/cfb/players/luke-schoonmaker-1.html,44.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,54.0,637.0,7.0,14.5,54.0,637.0,11.8,7.0,11.8
62,61,JAX,Brenton Strange,TE,22,2024.0,0,0,1,3.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,446.0,3.0,1.0,,,Penn St.,http://www.sports-reference.com/cfb/players/brenton-strange-1.html,37.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,70.0,755.0,11.0,20.4,71.0,755.0,10.6,11.0,10.8
94,93,PIT,Darnell Washington,TE,22,2024.0,0,0,1,3.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,261.0,1.0,,,,Georgia,http://www.sports-reference.com/cfb/players/darnell-washington-1.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,45.0,774.0,3.0,21.5,45.0,774.0,17.2,3.0,17.2
102,101,SFO,Cameron Latu,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,http://www.sports-reference.com/cfb/players/cameron-latu-1.html,50.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,56.0,787.0,12.0,15.7,56.0,787.0,14.1,12.0,14.1
148,147,TEN,Josh Whyle,TE,23,2024.0,0,0,0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,342.0,2.0,3.0,,,Cincinnati,http://www.sports-reference.com/cfb/players/josh-whyle-1.html,53.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,88.0,1062.0,15.0,20.0,88.0,1062.0,12.1,15.0,12.1
163,162,IND,Will Mallory,TE,24,2024.0,0,0,0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,236.0,0.0,,,,Miami (FL),http://www.sports-reference.com/cfb/players/will-mallory-1.html,58.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,115.0,1544.0,14.0,26.6,115.0,1544.0,13.4,14.0,13.4
