Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
1,Saquon Barkley,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3,,322,355.3,362.3,338.8,163,1,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,2005.0,82.0,1328.0,3.8,677.0,2.0,19.0,18.2,43.0,33.0,278.0,12.0,33.0,1.0,245.0,7.4,1.9,6.0,5.5,2.0,4.7,0.0,108.5,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14",2024
2,Derrick Henry,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,,,317,336.4,343.4,326.9,159,2,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,1921.0,94.0,1012.0,3.1,909.0,2.8,42.0,7.7,22.0,19.0,193.0,11.0,-23.0,-1.2,216.0,11.4,-1.1,8.0,2.4,1.0,4.5,0.0,133.5,"PB,AP-2,AP OPoY-4",2024
3,Jahmyr Gibbs,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,,,311,362.9,369.9,336.9,153,3,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,1412.0,70.0,813.0,3.3,599.0,2.4,21.0,11.9,63.0,52.0,517.0,25.0,-76.0,-1.5,593.0,11.4,-0.2,4.0,13.0,2.0,3.2,1.0,115.4,"PB,AP OPoY-8",2024
4,Lamar Jackson,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,4,1,,430,430.4,445.4,434.4,140,1,4,1.0,1.0,316.0,474.0,4056.0,8.6,2087.0,6.6,4.4,2085.0,6.6,12.0,13.0,5.0,28.0,6.1,69.0,15.1,359.0,78.7,2.5,162.0,53.0,31.0,107.0,19.7,45.0,9.0,95.0,724.0,59.0,566.0,32.0,158.0,104.0,1014.0,139.0,915.0,47.0,666.0,4.8,249.0,1.8,7.0,19.9,,,,,,,,,,,,,,,,,2024
5,Ja'Marr Chase,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,,276,403.0,406.0,339.5,138,1,5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,32.0,2.0,30.0,10.0,2.0,0.7,0.0,,175.0,127.0,1708.0,75.0,921.0,7.3,787.0,6.2,8.7,11.0,11.5,9.0,5.1,7.0,118.9,"PB,AP-1,AP MVP-8,AP OPoY-3",2024
6,Bijan Robinson,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1,,281,341.7,347.7,311.2,124,4,6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,1456.0,82.0,728.0,2.4,728.0,2.4,23.0,13.2,72.0,61.0,431.0,20.0,-100.0,-1.6,531.0,8.7,-0.5,5.0,12.2,3.0,4.2,0.0,96.2,PB,2024
7,Josh Jacobs,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.50,1,4,3,16,,,257,293.1,302.1,275.1,102,5,7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,1329.0,73.0,592.0,2.0,737.0,2.4,35.0,8.6,43.0,36.0,342.0,15.0,-61.0,-1.7,403.0,11.2,-1.0,13.0,2.8,0.0,0.0,1.0,97.9,"PB,AP OPoY-11",2024
8,Josh Allen,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,13,,1,379,379.0,393.0,385.0,91,2,8,,1.0,307.0,483.0,3836.0,7.9,1726.0,5.6,3.6,2005.0,6.5,9.0,22.0,1.0,20.0,4.3,86.0,18.7,344.0,74.8,2.4,136.0,37.0,37.0,88.0,16.4,41.0,8.9,51.0,404.0,39.0,335.0,11.0,69.0,90.0,794.0,102.0,531.0,52.0,341.0,3.3,190.0,1.9,7.0,14.6,0.0,0.0,7.0,0.0,0.0,,7.0,,,0.0,,0.0,,0.0,,"PB,AP-2,AP MVP-1,AP OPoY-6",2024
9,Joe Burrow,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,2,,,373,372.8,392.8,381.8,85,3,9,,1.0,460.0,652.0,4603.0,7.1,2726.0,5.9,4.2,2192.0,4.8,10.0,20.0,1.0,30.0,4.8,73.0,11.6,507.0,80.3,2.2,164.0,38.0,69.0,155.0,21.5,22.0,9.3,97.0,838.0,89.0,819.0,3.0,19.0,68.0,471.0,42.0,201.0,16.0,166.0,4.0,35.0,0.8,0.0,,,,,,,,,,,,,,,,,,2024
10,Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,,,238,272.1,281.1,255.1,84,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,1299.0,85.0,693.0,2.2,606.0,1.9,27.0,11.7,40.0,34.0,182.0,6.0,-13.0,-0.4,195.0,5.7,-0.7,2.0,17.0,1.0,2.5,0.0,102.3,AP OPoY-11,2024
