Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Lamar Jackson,QB,27,17,17,316.0,474.0,4172.0,41.0,4.0,139.0,915.0,6.58,4.0,0.0,0.0,0.0,,0.0,10.0,5.0,4,1.0,,430.0,430.4,445.4,434.4,140.0,1,4.0,2024,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Josh Allen,QB,28,17,17,307.0,483.0,3731.0,28.0,6.0,102.0,531.0,5.21,12.0,0.0,0.0,7.0,,1.0,5.0,2.0,13,,1.0,379.0,379.0,393.0,385.0,91.0,2,8.0,2024,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joe Burrow,QB,28,17,17,460.0,652.0,4918.0,43.0,9.0,42.0,201.0,4.79,2.0,0.0,0.0,0.0,,0.0,11.0,5.0,2,,,373.0,372.8,392.8,381.8,85.0,3,9.0,2024,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Baker Mayfield,QB,29,17,17,407.0,570.0,4500.0,41.0,16.0,60.0,378.0,6.3,3.0,0.0,0.0,0.0,,0.0,13.0,2.0,3,,1.0,366.0,365.8,389.8,381.8,79.0,4,13.0,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Jayden Daniels,QB,24,17,17,331.0,480.0,3568.0,25.0,9.0,148.0,891.0,6.02,6.0,0.0,0.0,0.0,,0.0,5.0,0.0,6,1.0,2.0,356.0,355.8,370.8,364.8,69.0,5,16.0,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jared Goff,QB,30,17,17,390.0,539.0,4629.0,37.0,12.0,35.0,56.0,1.6,0.0,1.0,1.0,7.0,7.0,1.0,6.0,0.0,1,,1.0,323.0,324.5,339.5,336.0,39.0,6,33.0,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bo Nix,QB,24,17,17,376.0,567.0,3775.0,29.0,12.0,92.0,430.0,4.67,4.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,5,,,316.0,317.2,335.2,328.7,32.0,7,38.0,2024,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jalen Hurts,QB,26,15,15,248.0,361.0,2903.0,18.0,5.0,150.0,630.0,4.2,14.0,0.0,0.0,0.0,,0.0,9.0,5.0,14,,,315.0,315.1,331.1,320.1,31.0,8,39.0,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Sam Darnold,QB,27,17,17,361.0,545.0,4319.0,35.0,12.0,67.0,212.0,3.16,1.0,0.0,0.0,0.0,,0.0,8.0,4.0,1,,,308.0,308.0,330.0,320.0,24.0,9,47.0,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Kyler Murray,QB,27,17,17,372.0,541.0,3851.0,21.0,11.0,78.0,572.0,7.33,5.0,0.0,0.0,0.0,,0.0,8.0,4.0,5,1.0,,297.0,297.2,318.2,308.2,14.0,10,58.0,2024,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
