Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
254,Kyle Juszczyk,SFO,FB,33,17,15,0,0,0,0,0,5,26,5.2,1,31,19,200,10.53,2,1,1,3,,,39.0,57.6,61.6,48.1,,68,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,26.0,1.0,9.0,1.8,17.0,3.4,1.0,5.0,31.0,19.0,200.0,8.0,107.0,5.6,93.0,4.9,6.0,0.0,,1.0,3.2,1.0,88.1,"PB,AP-2",2024
328,Michael Burton,DEN,FB,32,17,2,0,0,0,0,0,7,8,1.14,1,10,10,65,6.5,1,0,0,2,,,19.0,29.3,29.3,24.3,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,3.0,3.0,0.4,5.0,0.7,0.0,,10.0,10.0,65.0,3.0,24.0,2.4,41.0,4.1,2.4,0.0,,0.0,0.0,0.0,127.1,,2024
353,Alec Ingold,MIA,FB,28,15,10,0,0,0,0,0,10,17,1.7,1,12,11,96,8.73,0,2,1,1,,,15.0,26.3,27.3,20.8,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,17.0,6.0,3.0,0.3,14.0,1.4,0.0,,12.0,11.0,96.0,3.0,20.0,1.8,76.0,6.9,2.1,0.0,,0.0,0.0,0.0,100.0,,2024
361,Patrick Ricard,BAL,FB,30,17,6,0,0,0,0,0,0,0,,0,5,3,22,7.33,1,0,0,2,,,14.0,17.2,17.2,15.7,,100,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,22.0,1.0,4.0,1.3,18.0,6.0,1.2,0.0,,1.0,20.0,0.0,110.0,"PB,AP-1",2024
395,C.J. Ham,MIN,FB,31,17,3,0,0,0,0,0,2,10,5.0,1,6,5,35,7.0,0,1,1,1,,,9.0,13.5,14.5,11.0,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,1.0,8.0,4.0,2.0,1.0,0.0,,6.0,5.0,35.0,1.0,6.0,1.2,29.0,5.8,0.2,0.0,,0.0,0.0,0.0,91.0,,2024
506,Reggie Gilliam,BUF,FB,27,15,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,,1.0,0.7,0.7,0.7,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,1.0,2.0,0.7,5.0,1.7,1.0,3.0,,,,,,,,,,,,,,,,,2024
558,Troy Hairston,HOU,FB,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
566,Jakob Johnson,NYG,FB,30,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
589,Adam Prentice,NOR,FB,27,17,7,0,0,0,0,0,0,0,,0,4,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,1.0,25.0,0.0,39.6,,2024
1,Saquon Barkley,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3.0,,322.0,355.3,362.3,338.8,163.0,1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,2005.0,82.0,1328.0,3.8,677.0,2.0,19.0,18.2,43.0,33.0,278.0,12.0,33.0,1.0,245.0,7.4,1.9,6.0,5.5,2.0,4.7,0.0,108.5,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14",2024
