Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
15,George Kittle,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,,159.0,236.6,239.6,197.6,70.0,1,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,78.0,1106.0,50.0,584.0,7.5,522.0,6.7,8.1,4.0,19.5,2.0,2.1,2.0,135.2,"PB,AP-2,AP OPoY-11",2024
20,Brock Bowers,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.6,0,153,112,1194,10.66,5,0,0,5,,,151.0,262.7,265.7,206.7,63.0,2,20.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,2.0,-1.0,-0.2,14.0,2.8,1.0,5.0,153.0,112.0,1194.0,61.0,598.0,5.3,596.0,5.3,6.1,6.0,18.7,6.0,3.9,5.0,92.9,"PB,AP-1,AP ORoY-2",2024
24,Trey McBride,ARI,TE,25,16,16,0,0,0,0,0,1,2,2.0,1,147,111,1146,10.32,2,0,0,4,,,139.0,249.8,252.8,194.3,51.0,3,24.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,,147.0,111.0,1146.0,63.0,633.0,5.7,513.0,4.6,6.1,5.0,22.2,3.0,2.0,1.0,99.2,PB,2024
28,Jonnu Smith,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,8,,,134.0,222.3,226.3,178.3,47.0,4,28.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-1.0,0.0,-1.0,-0.5,0.0,0.0,0.0,,111.0,88.0,884.0,55.0,374.0,4.3,510.0,5.8,4.9,8.0,11.0,6.0,5.4,0.0,123.9,PB,2024
29,Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,0,69,55,673,12.24,11,0,0,11,,,134.0,188.8,191.8,161.3,47.0,5,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,3.0,1.0,0.3,4.0,1.0,0.0,,69.0,55.0,673.0,39.0,485.0,8.8,188.0,3.4,10.5,1.0,55.0,4.0,5.8,1.0,140.9,AP CPoY-19,2024
41,Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.1,7,0,0,7,,,115.0,174.6,177.6,144.6,29.0,6,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,60.0,726.0,39.0,383.0,6.4,343.0,5.7,7.0,3.0,20.0,1.0,1.2,2.0,116.8,,2024
44,Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2.0,0,70,50,707,14.14,7,1,1,7,1.0,,113.0,163.3,167.3,138.3,27.0,7,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,3.0,3.0,1.0,3.0,1.0,0.0,,70.0,50.0,707.0,30.0,251.0,5.0,456.0,9.1,5.3,9.0,5.6,5.0,7.1,1.0,131.1,,2024
45,Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,7,2.0,,111.0,177.4,180.4,144.4,26.0,8,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,66.0,654.0,38.0,467.0,7.1,187.0,2.8,7.4,0.0,,4.0,4.4,2.0,109.0,AP CPoY-17,2024
57,Pat Freiermuth,PIT,TE,26,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,7,,,103.0,168.3,173.3,135.8,18.0,9,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,65.0,653.0,32.0,374.0,5.8,279.0,4.3,6.1,4.0,16.3,4.0,5.1,1.0,126.1,,2024
59,Travis Kelce,KAN,TE,35,16,16,0,0,0,0,0,1,1,1.0,0,133,97,823,8.48,3,2,1,3,,,98.0,195.4,199.4,146.9,13.0,10,59.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,133.0,97.0,823.0,47.0,482.0,5.0,341.0,3.5,6.4,3.0,32.3,6.0,4.5,4.0,83.6,PB,2024
148,David Njoku,CLE,TE,28,11,11,0,0,0,0,0,0,0,,0,97,64,505,7.89,5,0,0,5,2.0,,85.0,148.5,151.5,116.5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,64.0,505.0,23.0,254.0,4.0,251.0,3.9,5.2,4.0,16.0,7.0,7.2,3.0,83.1,,2024
151,Kyle Pitts,ATL,TE,24,17,15,0,0,0,0,0,0,0,,0,74,47,602,12.81,4,0,0,4,,,84.0,131.2,134.2,107.7,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,47.0,602.0,21.0,330.0,7.0,272.0,5.8,8.6,4.0,11.8,4.0,5.4,4.0,84.4,,2024
156,Isaiah Likely,BAL,TE,24,16,9,0,0,0,0,0,0,0,,0,58,42,477,11.36,6,1,1,6,,,82.0,123.7,127.7,102.7,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,42.0,477.0,26.0,221.0,5.3,256.0,6.1,8.0,3.0,14.0,2.0,3.4,0.0,131.2,,2024
157,Cade Otton,TAM,TE,25,14,14,0,0,0,0,0,1,-4,-4.0,0,87,59,600,10.17,4,2,1,4,,,82.0,140.6,144.6,111.1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-4.0,0.0,-4.0,-4.0,0.0,0.0,1.0,1.0,87.0,59.0,600.0,31.0,289.0,4.9,311.0,5.3,5.5,6.0,9.8,8.0,9.2,3.0,88.3,,2024
165,Hunter Henry,NWE,TE,30,16,16,0,0,0,0,0,0,0,,0,97,66,674,10.21,2,0,0,2,,,79.0,145.4,148.4,112.4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,66.0,674.0,40.0,406.0,6.2,268.0,4.1,7.0,2.0,33.0,2.0,2.1,1.0,90.3,,2024
