,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
2,1,TEN,Cam Ward,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),http://www.sports-reference.com/cfb/players/cameron-ward-1.html,38.0,948.0,1436.0,66.0,11281.0,87.0,6.1,23.0,1.6,7.9,8.35,11.9,296.9,148.8,287.0,406.0,1.4,17.0,10.7,2.0,-6.0,-3.0,1.0,-0.2,289.0,400.0,1.4,18.0
3,2,JAX,Travis Hunter,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,http://www.sports-reference.com/cfb/players/travis-hunter-2.html,22.0,,,,,,,,,,,,,,2.0,5.0,2.5,1.0,0.2,153.0,1979.0,12.9,20.0,90.0,155.0,1984.0,12.8,21.0
7,6,LVR,Ashton Jeanty,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Boise St.,http://www.sports-reference.com/cfb/players/ashton-jeanty-1.html,40.0,,,,,,,,,,,,,,750.0,4769.0,6.4,50.0,119.2,80.0,862.0,10.8,6.0,21.6,830.0,5631.0,6.8,56.0
9,8,CAR,Tetairoa McMillan,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,http://www.sports-reference.com/cfb/players/tetairoa-mcmillan-1.html,37.0,4.0,5.0,80.0,43.0,1.0,20.0,0.0,0.0,8.6,12.6,10.8,1.2,218.2,1.0,3.0,3.0,0.0,0.1,213.0,3423.0,16.1,26.0,92.5,214.0,3426.0,16.0,26.0
11,10,CHI,Colston Loveland,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,http://www.sports-reference.com/cfb/players/colston-loveland-1.html,39.0,,,,,,,,,,,,,,2.0,-10.0,-5.0,0.0,-0.3,117.0,1466.0,12.5,11.0,37.6,119.0,1456.0,12.2,11.0
15,14,IND,Tyler Warren,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,http://www.sports-reference.com/cfb/players/tyler-warren-1.html,56.0,3.0,6.0,50.0,35.0,1.0,16.7,0.0,0.0,5.8,9.17,11.7,0.6,154.0,32.0,224.0,7.0,6.0,4.0,153.0,1839.0,12.0,19.0,32.8,185.0,2063.0,11.2,25.0
20,19,TAM,Emeka Egbuka,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,http://www.sports-reference.com/cfb/players/emeka-egbuka-1.html,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,145.0,6.0,2.0,3.0,205.0,2868.0,14.0,24.0,58.5,229.0,3013.0,13.2,26.0
23,22,LAC,Omarion Hampton,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,http://www.sports-reference.com/cfb/players/omarion-hampton-1.html,38.0,,,,,,,,,,,,,,622.0,3565.0,5.7,36.0,93.8,73.0,635.0,8.7,4.0,16.7,695.0,4200.0,6.0,40.0
24,23,GNB,Matthew Golden,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas,http://www.sports-reference.com/cfb/players/matthew-golden-1.html,36.0,1.0,2.0,50.0,30.0,0.0,0.0,0.0,0.0,15.0,15.0,30.0,0.8,176.0,0.0,0.0,,0.0,0.0,134.0,1975.0,14.7,22.0,54.9,134.0,1975.0,14.7,22.0
26,25,NYG,Jaxson Dart,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,http://www.sports-reference.com/cfb/players/jaxson-dart-1.html,45.0,852.0,1307.0,65.2,11970.0,81.0,6.2,27.0,2.1,9.2,9.47,14.0,266.0,158.4,393.0,1541.0,3.9,14.0,34.2,1.0,15.0,15.0,0.0,0.3,394.0,1556.0,3.9,14.0
35,34,HOU,Jayden Higgins,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Iowa St.,http://www.sports-reference.com/cfb/players/jayden-higgins-1.html,26.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,140.0,2166.0,15.5,15.0,83.3,140.0,2166.0,15.5,15.0
37,36,CLE,Quinshon Judkins,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,http://www.sports-reference.com/cfb/players/quinshon-judkins-1.html,42.0,1.0,1.0,100.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.2,158.8,739.0,3785.0,5.1,45.0,90.1,59.0,442.0,7.5,5.0,10.5,798.0,4227.0,5.3,50.0
39,38,NWE,TreVeyon Henderson,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,http://www.sports-reference.com/cfb/players/treveyon-henderson-1.html,47.0,,,,,,,,,,,,,,590.0,3761.0,6.4,42.0,80.0,77.0,853.0,11.1,6.0,18.1,667.0,4614.0,6.9,48.0
40,39,CHI,Luther Burden,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,http://www.sports-reference.com/cfb/players/luther-burden-1.html,38.0,,,,,,,,,,,,,,34.0,234.0,6.9,4.0,6.2,192.0,2263.0,11.8,21.0,59.6,226.0,2497.0,11.0,25.0
41,40,NOR,Tyler Shough,QB,25,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,http://www.sports-reference.com/cfb/players/tyler-shough-1.html,42.0,599.0,951.0,63.0,7820.0,59.0,6.2,23.0,2.4,8.2,8.38,13.1,186.2,147.7,246.0,733.0,3.0,11.0,17.5,0.0,18.0,,0.0,0.4,246.0,751.0,3.1,11.0
43,42,NYJ,Mason Taylor,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,LSU,http://www.sports-reference.com/cfb/players/mason-taylor-1.html,38.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,129.0,1308.0,10.1,6.0,34.4,129.0,1308.0,10.1,6.0
47,46,LAR,Terrance Ferguson,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,http://www.sports-reference.com/cfb/players/terrance-ferguson-1.html,53.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,134.0,1537.0,11.5,16.0,29.0,134.0,1537.0,11.5,16.0
51,50,SEA,Elijah Arroyo,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),http://www.sports-reference.com/cfb/players/elijah-arroyo-1.html,36.0,1.0,1.0,100.0,7.0,1.0,100.0,0.0,0.0,7.0,27.0,7.0,0.2,488.8,0.0,0.0,,0.0,0.0,46.0,753.0,16.4,8.0,20.9,46.0,753.0,16.4,8.0
56,55,LAC,Tre Harris,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,http://www.sports-reference.com/cfb/players/tre-harris-1.html,51.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,5.0,22.0,4.4,0.0,0.4,220.0,3532.0,16.1,29.0,69.3,225.0,3554.0,15.8,29.0
59,58,LVR,Jack Bech,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU,http://www.sports-reference.com/cfb/players/jack-bech-1.html,45.0,,,,,,,,,,,,,,3.0,4.0,1.3,0.0,0.1,133.0,1869.0,14.1,13.0,41.5,136.0,1873.0,13.8,13.0
61,60,DEN,RJ Harvey,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,http://www.sports-reference.com/cfb/players/rj-harvey-1.html,41.0,3.0,4.0,75.0,83.0,1.0,25.0,0.0,0.0,20.8,25.75,27.7,2.0,331.8,579.0,3792.0,6.5,43.0,92.5,61.0,720.0,11.8,4.0,17.6,640.0,4512.0,7.1,47.0
68,67,CLE,Harold Fannin,TE,21,,0,0,0,,,,,,,,,,,,,,,,,,Bowling Green,http://www.sports-reference.com/cfb/players/harold-fannin-jr-1.html,36.0,1.0,4.0,25.0,9.0,0.0,0.0,0.0,0.0,2.3,2.25,9.0,0.3,43.9,33.0,159.0,4.8,5.0,4.4,180.0,2396.0,13.3,17.0,66.6,213.0,2555.0,12.0,22.0
70,69,NWE,Kyle Williams,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.,http://www.sports-reference.com/cfb/players/kyle-williams-11.html,50.0,1.0,1.0,100.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.3,226.0,17.0,72.0,4.2,0.0,1.4,248.0,3609.0,14.6,29.0,72.2,265.0,3681.0,13.9,29.0
