,Player,Projected_Pts,VBD
0,Lamar Jackson,360.1832172579079,158.7951441590545
1,Christian McCaffrey,249.0273844167521,109.4496106130999
2,Alvin Kamara,247.6310157403638,108.0532419367116
3,Saquon Barkley,244.29899800767555,104.72122420402334
4,Ja'Marr Chase,267.4924391872524,98.09958193009146
5,Justin Jefferson,249.34913028580803,79.9562730286471
6,Puka Nacua,245.9153062766764,76.52244901951548
7,Jahmyr Gibbs,213.80869122569806,74.23091742204585
8,Brock Bowers,196.36643507780389,72.4186011121653
9,Trey McBride,195.58072063703844,71.63288667139986
10,George Kittle,194.74100062324004,70.79316665760146
11,Joe Burrow,270.42431102881875,69.03623792996532
12,Baker Mayfield,267.8082386374356,66.42016553858215
13,Malik Nabers,234.87994195224138,65.48708469508045
14,Breece Hall,200.1427972605549,60.56502345690268
15,Nico Collins,228.3660960059451,58.97323874878418
16,CeeDee Lamb,227.3245863258863,57.93172906872536
17,A.J. Brown,224.3418959967753,54.949038739614366
18,Davante Adams,222.5362174112671,53.143360154106176
19,Josh Allen,252.61038159412362,51.2223084952702
20,Derrick Henry,189.9959566550104,50.41818285135818
21,James Conner,189.50002361434045,49.92224981068824
22,Bijan Robinson,186.92866146334663,47.35088765969442
23,Aaron Jones,185.36278647016553,45.785012666513325
24,Jonathan Taylor,184.95993684621243,45.38216304256022
25,Drake London,213.76444689029597,44.371589633135045
26,Joe Mixon,183.5552132516928,43.9774394480406
27,Jayden Daniels,244.6468193375955,43.25874623874208
28,Jalen Hurts,243.83662828868432,42.4485551898309
29,Chris Godwin,211.09567642787863,41.7028191707177
30,Jerry Jeudy,210.00892242043074,40.61606516326981
31,Jacob Kibodi,178.56714038804046,38.98936658438825
32,Tee Higgins,207.85218837789503,38.459331120734106
33,Brian Thomas,207.81912157055046,38.42626431338954
34,Jonnu Smith,161.072055189936,37.12422122429743
35,Bucky Irving,175.5485214370891,35.9707476334369
36,David Njoku,159.2164966825743,35.26866271693572
37,Travis Kelce,159.0893344124276,35.141500446789024
38,Jared Goff,236.082271678751,34.694198579897574
39,D'Andre Swift,172.13799430901867,32.56022050536646
40,Austin Ekeler,170.5503631335826,30.9725893299304
41,De'Von Achane,168.5850992350318,29.0073254313796
42,Josh Jacobs,165.94835112961823,26.370577325966025
43,Sam Darnold,226.98010362326005,25.592030524406624
44,Jakobi Meyers,193.9632975379884,24.570440280827484
45,Mike Evans,193.52877982101236,24.135922563851437
46,Ladd McConkey,191.1502349502153,21.757377693054366
47,George Pickens,189.19113052973822,19.79827327257729
48,D.K. Metcalf,188.47750796528305,19.084650708122126
49,Amon-Ra St. Brown,188.29460527860243,18.901748021441506
50,Tony Pollard,157.17445109445458,17.596677290802376
51,Najee Harris,156.56064215720534,16.98286835355313
52,Garrett Wilson,185.86590401412764,16.47304675696671
53,Jimmy Garoppolo,217.15267724394448,15.764604145091056
54,Joe Milton,215.8398598513421,14.451786752488687
55,Courtland Sutton,183.48709561674616,14.094238359585233
56,Rico Dowdle,153.27714528004026,13.699371476388052
57,Rashee Rice,182.86341014841508,13.470552891254158
58,Jameson Williams,182.26221490159537,12.869357644434444
59,Marcus Mariota,214.1057336606749,12.717660561821475
60,Jaxon Smith-Njigba,180.4780953676053,11.08523811044438
61,Dallas Goedert,134.8576499497417,10.909815984103119
62,Jauan Jennings,179.25159932539165,9.858742068230725
63,Calvin Ridley,179.18786023481758,9.795002977656651
64,Sam LaPorta,133.19477562770788,9.246941662069304
65,Darnell Mooney,176.28335824730794,6.890500990147018
66,Zay Flowers,176.0200237724623,6.627166515301383
67,Evan Engram,130.5165813947645,6.568747429125921
68,Cade Otton,128.85254701177024,4.904713046131661
69,Rashid Shaheed,173.8716159900613,4.47875873290036
70,Chase Brown,143.34755938546584,3.769785581813636
71,Mark Andrews,127.57195917278788,3.624125207149305
72,Tyrone Tracy Jr.,142.6562554100277,3.0784816063755045
73,Jaylen Warren,141.63975337931714,2.0619795756649353
74,David Montgomery,139.5777738036522,0.0
75,Zach Ertz,123.94783396563858,0.0
76,Terry McLaurin,169.39285725716093,0.0
77,Brock Purdy,201.38807309885343,0.0
78,Pat Freiermuth,123.27832427448247,-0.669509691156108
79,Stefon Diggs,167.68000936664336,-1.7128478905175655
80,Tanner McKee,198.95486675298878,-2.4332063458646473
81,Cooper Kupp,165.6071151940709,-3.7857420630900265
82,Hunter Henry,120.12935008387636,-3.8184838817622193
83,Jordan Mason,135.6485472072858,-3.9292265963664192
84,DeVonta Smith,165.0488433243783,-4.344013932782616
85,T.J. Hockenson,119.42341993613236,-4.524414029506218
86,Brandon Aiyuk,163.94674725802645,-5.446109999134478
87,Tucker Kraft,117.11012674932591,-6.8377072163126655
88,Bo Nix,193.47563979768415,-7.912433301169273
89,Kenneth Walker III,131.07290339058972,-8.504870413062491
90,Josh Downs,160.53242762875362,-8.860429628407303
91,Justin Herbert,192.24017993189358,-9.147893166959847
