,Player,Actual,Predicted,ActualRank,PredictedRank,RankError
9,Christian McCaffrey,47.8,229.45656218633766,63,1,-62
20,Bijan Robinson,341.7,216.44427255298007,3,2,-1
19,James Cook,266.7,208.7581342784356,8,3,-5
15,Breece Hall,240.9,208.68941740353694,15,4,-11
39,Austin Ekeler,132.3,204.28307181653946,32,5,-27
44,Aaron Jones,241.6,188.92524847719594,13,6,-7
34,Josh Jacobs,293.1,186.01423982657212,6,7,1
16,Rachaad White,199.6,181.42260439229506,21,8,-13
12,Kyren Williams,272.1,177.53384960024673,7,9,2
11,Travis Etienne,130.2,175.47290122411977,33,10,-23
32,Alvin Kamara,265.3,168.43150440814463,9,11,2
84,Nick Chubb,63.3,168.3130376423215,55,12,-43
21,Saquon Barkley,355.3,166.34833535189827,2,13,11
29,De'Von Achane,299.9,159.10143995267276,5,14,9
18,Jahmyr Gibbs,362.9,156.69129290819623,1,15,14
30,Brian Robinson Jr.,159.8,155.50880679497334,27,16,-11
43,Rhamondre Stevenson,175.9,148.22410654784665,26,17,-9
14,Joe Mixon,240.5,145.61371073527783,16,18,2
24,Kenneth Walker III,181.2,145.03778720770958,25,19,-6
22,James Conner,253.8,142.3848341175812,11,20,9
37,Jonathan Taylor,244.7,142.00398864414728,12,21,9
38,Jaylen Warren,124.1,141.4277568138035,37,22,-15
47,Tyjae Spears,113.6,137.9958482352058,39,23,-16
27,Jerome Ford,134.0,137.76658883117867,31,24,-7
26,Tony Pollard,200.7,135.8057997648262,20,25,5
60,Keaton Mitchell,6.8,135.1445497119773,97,26,-71
31,D'Andre Swift,214.5,134.92378864180512,18,27,9
48,Khalil Herbert,31.5,132.93501817973842,73,28,-45
56,Samaje Perine,81.4,129.94727267458413,48,29,-19
13,Derrick Henry,336.4,129.93247525765332,4,30,26
35,Zack Moss,81.9,129.39728333752691,47,31,-16
25,Isiah Pacheco,56.9,120.3981253889255,59,32,-27
36,Devin Singletary,96.6,119.74907139921504,43,33,-10
52,Antonio Gibson,103.4,119.51941802346911,41,34,-7
46,Alexander Mattison,137.4,118.93826437980422,30,35,5
17,David Montgomery,221.7,117.22296894099935,17,36,19
28,Najee Harris,204.6,114.28160521899615,19,37,18
41,Ezekiel Elliott,57.5,112.4906925832581,58,38,-20
33,Chuba Hubbard,241.6,110.36478811580186,13,39,26
42,Tyler Allgeier,106.2,105.59396380076694,40,40,0
40,Javonte Williams,157.9,99.54838075452561,28,41,13
73,Kendre Miller,29.1,94.23456187133016,78,42,-36
55,Zach Charbonnet,186.9,93.88771596224488,24,43,19
23,Gus Edwards,64.1,91.3710279220323,53,44,-9
49,Justice Hill,127.1,91.15070737070857,35,45,10
51,D'Onta Foreman,32.6,90.44497841841559,72,46,-26
61,Miles Sanders,77.3,90.04830037029924,50,47,-3
10,Raheem Mostert,70.9,86.95372892119926,51,48,-3
64,Clyde Edwards-Helaire,10.0,81.45288068941449,95,49,-46
58,Roschon Johnson,77.4,80.83575533276266,49,50,1
68,Chase Brown,255.0,79.88092237596727,10,51,41
50,Ty Chandler,28.4,76.98982372784211,80,52,-28
59,Kenneth Gainwell,62.6,75.77143374052675,56,53,-3
57,Dameon Pierce,43.5,72.14680526904094,65,54,-11
65,Emari Demercado,54.7,69.84467028636958,61,55,-6
62,Zamir White,29.3,68.7099970883077,76,56,-20
81,Darrynton Evans,0.3,68.50775975853658,106,57,-49
53,Rico Dowdle,197.8,67.98974788075036,22,58,36
75,Jeff Wilson,10.6,66.02694651824639,94,59,-35
54,Jaleel McLaughlin,97.2,60.2994404432828,42,60,18
88,Tyler Goodson,44.4,59.96241978277582,64,61,-3
92,J.K. Dobbins,191.8,59.29964033598068,23,62,39
77,D'Ernest Johnson,35.9,56.696042384583166,69,63,-6
70,Cam Akers,93.2,52.650375105422086,45,64,19
