,Player,Actual,Predicted,ActualRank,PredictedRank,RankError
2,Travis Kelce,195.4,186.85645897512256,4,1,-3
3,T.J. Hockenson,86.5,186.14796473606071,33,2,-31
5,Evan Engram,89.5,176.2472067780946,32,3,-29
0,Sam LaPorta,174.6,164.81634750612457,7,4,-3
11,Mark Andrews,188.8,161.64027388452098,5,5,0
1,George Kittle,236.6,160.34753050419846,2,6,4
4,David Njoku,148.5,159.96842830614634,10,7,-3
9,Trey McBride,249.8,139.07217034844007,1,8,7
7,Cole Kmet,120.4,131.95582258903855,18,9,-9
8,Jake Ferguson,104.4,131.47405893930937,24,10,-14
10,Dalton Schultz,118.2,126.71312923141797,19,11,-8
15,Dalton Kincaid,100.8,125.431148794512,29,12,-17
14,Dallas Goedert,103.6,125.1476600757362,26,13,-13
12,Kyle Pitts,131.2,106.02876037650236,14,14,0
13,Hunter Henry,145.4,101.98102496238232,11,15,4
19,Tyler Conklin,121.9,100.68388967179374,17,16,-1
16,Jonnu Smith,222.3,97.00547136393624,3,17,14
46,Zach Ertz,177.4,95.7858295034211,6,18,12
20,Tyler Higbee,26.6,95.72538349543842,59,19,-40
22,Gerald Everett,11.6,93.79703792747604,76,20,-56
21,Juwan Johnson,122.8,92.80007915227253,16,21,5
31,Luke Musgrave,11.5,92.12721902136019,78,22,-56
23,Chigoziem Okonkwo,113.6,90.45535202748454,20,23,3
30,Tanner Hudson,38.5,89.98125289016824,47,24,-23
18,Cade Otton,140.6,86.74183830605676,13,25,12
25,Pat Freiermuth,168.3,81.16933524790139,8,26,18
17,Isaiah Likely,123.7,73.59973891988889,15,27,12
27,Kylen Granson,32.2,67.42537170241013,55,28,-27
26,Michael Mayer,36.6,65.78910672313472,48,29,-19
34,Durham Smythe,14.3,64.72289616053578,72,30,-42
48,Hayden Hurst,15.3,63.4345452804501,69,31,-38
29,Noah Fant,104.0,63.125774697535235,25,32,7
24,Tucker Kraft,163.3,62.37937800699055,9,33,24
6,Taysom Hill,102.3,61.753994811390186,28,34,6
39,Dawson Knox,59.1,56.79422755597795,38,35,-3
28,Noah Gray,113.3,56.059334632690465,21,36,15
37,Mike Gesicki,141.5,51.65846866284648,12,37,25
33,Colby Parkinson,65.4,49.15338033985666,35,38,3
38,Brevin Jordan,2.7,48.73265600445518,89,39,-50
54,Will Mallory,6.9,48.48216491558722,84,40,-44
35,Tommy Tremble,56.4,48.22841051402567,40,41,1
52,Elijah Higgins,49.2,46.09698287226365,41,42,1
32,Adam Trautman,43.8,45.84115689618694,45,43,-2
43,Daniel Bellinger,26.5,45.02876624392566,60,44,-16
60,Lucas Krull,34.2,44.84717864071319,53,45,-8
40,Josh Oliver,65.8,44.234970481385645,34,46,12
47,Foster Moreau,103.3,43.896095221191146,27,47,20
50,Austin Hooper,108.6,43.25094659189294,23,48,25
85,Greg Dulcich,7.8,41.78959788728194,83,49,-34
61,Irv Smith Jr.,0.0,41.070140710262656,94,50,-44
41,Drew Sample,36.5,40.08342844666642,49,51,2
42,Andrew Ogletree,25.9,39.21854713248597,61,52,-9
49,Will Dissly,110.1,36.669895266150206,22,53,31
56,Connor Heyward,16.0,36.212170657207594,66,54,-12
36,Mo Alie-Cox,32.7,35.94657819944392,54,55,1
68,Stephen Sullivan,0.0,35.1701940507058,94,56,-38
44,Pharaoh Brown,12.5,35.07795231616763,74,57,-17
51,Johnny Mundt,45.2,34.86640373660372,43,58,15
64,Jeremy Ruckert,28.5,33.16141003577112,56,59,3
62,John Bates,14.4,32.07574041181849,71,60,-11
65,Josh Whyle,60.8,31.7492729246268,36,61,25
53,Stone Smartt,34.8,30.611557319258072,51,62,11
66,Brock Wright,35.0,29.45771668170856,50,63,13
45,Harrison Bryant,17.6,29.30810766874118,64,64,0
59,Luke Farrell,18.7,28.241521246445117,63,65,2
93,Nick Muse,0.0,27.747073114191657,94,66,-28
67,Jordan Akins,91.0,27.679626323498958,31,67,36
58,Davis Allen,9.9,25.8821933935236,81,68,-13
69,C.J. Uzomah,0.0,24.401656387778548,94,69,-25
74,Geoff Swaim,1.7,24.243506504270634,90,70,-20
57,MyCole Pruitt,16.0,24.086631125601865,66,71,5
70,Robert Tonyan,0.0,23.210273370362703,94,72,-22
63,Charlie Kolar,28.3,22.715229952716093,57,73,16
55,Luke Schoonmaker,57.1,22.02030784737891,39,74,35
83,Peyton Hendershot,10.1,18.8401158873927,80,75,-5
90,Kenny Yeboah,15.7,18.83804535755594,68,76,8
76,Josiah Deguara,4.4,18.714432158496663,86,77,-9
79,Ian Thomas,3.7,17.7288605524654,87,78,-9
81,Mitchell Wilcox,0.0,17.16696937894256,94,79,-15
77,Payne Durham,34.5,17.084330102109163,52,80,28
71,Brenton Strange,91.1,16.901590240585236,30,81,51
88,Teagan Quitoriano,0.0,16.25649932475003,94,82,-12
80,Darnell Washington,45.0,16.170761244306156,44,83,39
86,Julian Hill,22.0,15.476205899743306,62,84,22
91,Nate Adkins,43.5,14.07827047242207,46,85,39
72,Marcedes Lewis,1.2,13.834026119661502,92,86,-6
75,Ben Sims,8.2,13.158188892047143,82,87,5
82,Grant Calcaterra,59.8,13.060548767633286,37,88,51
73,Quintin Morris,14.6,12.970848902814758,70,89,19
84,Jack Stoll,3.0,12.844094155439748,88,90,2
97,Eric Saubert,26.7,11.479827753678542,58,91,33
89,Charlie Woerner,11.6,10.962324010858907,76,92,16
87,James Mitchell,0.0,10.42226327325831,94,93,-1
95,Tucker Fisk,10.9,10.303627817493108,79,94,15
78,Ko Kieft,0.0,9.641897630597967,94,95,1
96,John FitzPatrick,1.2,9.400859070937614,92,96,4
92,Chris Manhertz,12.0,9.074723091349327,75,97,22
94,Ross Dwelley,1.5,8.581589253508419,91,98,7
106,Nick Vannett,48.5,8.211629749651124,42,99,57
98,Tanner Conner,4.6,6.180400069901253,85,100,15
100,Anthony Firkser,0.0,6.180400069901253,94,100,6
101,Parker Hesse,0.0,6.180400069901253,94,100,6
102,Zack Kuntz,0.0,6.180400069901253,94,100,6
99,Princeton Fant,0.0,6.180400069901253,94,100,6
103,Hunter Long,13.0,6.180400069901253,73,100,27
104,Jordan Matthews,0.0,6.180400069901253,94,100,6
105,Brady Russell,0.0,6.180400069901253,94,100,6
107,Travis Vokolek,0.0,6.180400069901253,94,100,6
108,Blake Whiteheart,17.1,6.180400069901246,65,109,44
109,Brayden Willis,0.0,6.180400069901246,94,109,15
110,Rodney Williams,0.0,6.1542676382026045,94,111,17
