,Player,Actual,Predicted,ActualRank,PredictedRank,RankError
1,Tyreek Hill,218.2,306.7724459323396,15,1,-14
25,Justin Jefferson,317.5,297.8699166853817,2,2,0
0,CeeDee Lamb,263.4,276.1562351861401,6,3,-3
10,Keenan Allen,184.4,264.4189837847852,29,4,-25
2,Amon-Ra St. Brown,316.2,257.1753884602853,3,5,2
4,Puka Nacua,206.6,247.6823533092151,23,6,-17
15,Amari Cooper,122.7,244.18748580325024,55,7,-48
6,A.J. Brown,216.9,240.14323949115027,17,8,-9
8,Nico Collins,210.6,229.33406140878873,20,9,-11
107,Mike Williams,56.8,226.06479857929202,93,10,-83
9,Brandon Aiyuk,62.4,223.87279030018863,91,11,-80
5,D.J. Moore,238.1,217.81340430607696,13,12,-1
12,Ja'Marr Chase,403.0,211.30489066856933,1,13,12
3,Mike Evans,240.4,208.8118423113516,11,14,3
24,Michael Pittman Jr.,165.8,203.93357474179936,36,15,-21
13,Davante Adams,241.3,203.48961745279593,9,16,7
23,Chris Olave,76.7,202.61723869698693,81,17,-64
14,D.K. Metcalf,191.2,201.45347837990488,28,18,-10
31,Jaylen Waddle,149.6,199.39915637641445,41,19,-22
11,Stefon Diggs,121.9,197.03469388799198,56,20,-36
36,Garrett Wilson,251.9,192.76124630382253,8,21,13
22,George Pickens,164.4,189.34169120303994,37,22,-15
19,DeAndre Hopkins,147.0,186.13347833335587,43,23,-20
46,Christian Kirk,70.9,182.6131821143282,82,24,-58
21,DeVonta Smith,199.4,178.06425140451154,24,25,1
16,Calvin Ridley,199.2,177.5143232030156,25,26,1
35,Tank Dell,140.0,177.14201866587842,45,27,-18
40,Cooper Kupp,175.0,176.31518981002722,33,28,-5
32,Chris Godwin,137.8,174.76197803348145,47,29,-18
28,Terry McLaurin,267.8,173.83914073600027,5,30,25
65,Josh Palmer,107.4,164.09502750941235,65,31,-34
41,Drake London,280.8,163.30917771496723,4,32,28
30,Adam Thielen,139.5,161.74259105850422,46,33,-13
64,Noah Brown,86.3,159.85301415837498,74,34,-40
7,Deebo Samuel,153.6,159.77027386229048,39,35,-4
42,Diontae Johnson,89.1,158.6855185028727,73,36,-37
44,Tee Higgins,222.1,158.14976704774443,14,37,23
26,Rashee Rice,64.9,151.35481426103865,86,38,-48
33,Tyler Lockett,121.0,149.59052392757692,58,39,-19
18,Jordan Addison,212.5,145.57350759609386,18,40,22
29,Zay Flowers,209.5,145.39252026071563,22,41,19
66,Kendrick Bourne,65.1,138.77829624324846,85,42,-43
20,Jakobi Meyers,218.0,137.47971283606273,16,43,27
62,Christian Watson,105.3,135.31167913716138,66,44,-22
49,Jerry Jeudy,240.9,134.39776883103136,10,45,35
17,Jayden Reed,197.0,132.2263465923902,26,46,20
39,Rashid Shaheed,79.8,131.94368274894964,79,47,-32
51,Marquise Brown,18.1,131.43497833994925,121,48,-73
27,Courtland Sutton,240.3,128.04833903261652,12,49,37
47,Josh Downs,183.5,125.0801565940688,30,50,20
43,Darius Slayton,110.0,123.90508815061736,64,51,-13
37,Gabriel Davis,53.9,122.56941666329027,96,52,-44
108,Bo Melton,22.5,118.39874044857154,116,53,-63
72,Demario Douglas,147.7,117.3703039388612,42,54,12
55,Michael Wilson,124.5,117.2549711372844,53,55,2
59,Odell Beckham Jr.,14.5,115.56535170509628,126,56,-70
87,Zay Jones,16.4,115.29759307145297,123,57,-66
60,Elijah Moore,120.9,114.84940672000265,59,58,-1
38,Romeo Doubs,132.1,110.11304625492727,49,59,10
54,Tyler Boyd,78.3,109.46627549360474,80,60,-20
34,Brandin Cooks,69.6,108.21670476449688,83,61,-22
45,Curtis Samuel,63.7,105.12395274695642,88,62,-26
53,Dontayvion Wicks,110.5,101.52885832116115,63,63,0
50,Jaxon Smith-Njigba,253.0,101.3427673097741,7,64,57
52,DJ Chark,13.1,99.75869092967798,133,65,-68
80,Robert Woods,38.3,95.33333543518978,104,66,-38
48,Josh Reynolds,38.4,95.11418421053025,103,67,-36
63,K.J. Osborn,18.7,93.47842071098583,120,68,-52
88,Jonathan Mingo,32.2,92.7752059501526,110,69,-41
61,Wan'Dale Robinson,182.7,91.93582864280971,31,70,39
67,Alec Pierce,161.4,89.18817545048358,38,71,33
56,Jahan Dotson,41.9,87.63976682746794,101,72,-29
57,Khalil Shakir,182.5,86.4523712980899,32,73,41
58,Tutu Atwell,98.9,85.32618682878561,69,74,5
81,Darnell Mooney,193.2,83.28820128906791,27,75,48
109,Alex Erickson,0.0,82.16905113399416,165,76,-89
76,Jameson Williams,212.2,81.55017857330438,19,77,58
70,Justin Watson,62.9,81.0068386184691,90,78,-12
75,Quentin Johnston,174.7,73.14480868924791,34,79,45
69,Kalif Raymond,56.5,70.33296499817659,94,80,-14
74,Nick Westbrook-Ikhine,135.7,69.54613317289288,48,81,33
96,Allen Lazard,126.0,67.7777226592554,52,82,30
105,JuJu Smith-Schuster,53.1,67.69045337157766,97,83,-14
86,Rashod Bateman,174.6,65.47664528956352,35,84,49
73,Trey Palmer,35.2,65.0351062665772,108,85,-23
84,Chris Moore,0.0,64.44245786049396,165,86,-79
85,Chris Moore,0.0,64.44245786049396,165,86,-79
95,Jalin Hyatt,14.2,58.952983386519676,128,88,-40
79,Marvin Mims,129.5,58.94889690209259,50,89,39
118,Treylon Burks,7.5,56.89370851077668,141,90,-51
71,Demarcus Robinson,123.5,56.423940870285044,54,91,37
100,Marquez Valdes-Scantling,84.5,55.556533299408,76,92,16
103,Jauan Jennings,210.5,54.44747694650734,21,93,72
78,Tre Tucker,129.3,53.381262038763154,51,94,43
77,Brandon Johnson,1.9,52.607799489356736,159,95,-64
68,Nelson Agholor,49.1,51.5723738951189,99,96,-3
116,Mack Hollins,98.8,51.03858837425304,70,97,27
83,Cedrick Wilson Jr.,49.9,50.88221426381955,98,98,0
121,Cedric Tillman,80.4,49.99170069212351,77,99,22
94,Brandon Powell,14.1,48.72713236534311,130,100,-30
104,Skyy Moore,0.0,48.09818513240796,165,101,-64
138,Terrace Marshall Jr.,7.1,46.81979787982206,143,102,-41
89,Greg Dortch,90.3,45.875294742625016,72,103,31
93,Trenton Irwin,4.5,45.79683883082477,151,104,-47
111,Allen Robinson,6.0,42.283467912509074,147,105,-42
123,Jalen Reagor,14.7,39.72648356466832,125,106,-19
97,Jalen Tolbert,152.0,38.96052031387122,40,107,67
125,Van Jefferson,63.6,37.29391586194197,89,108,19
92,Xavier Gipson,14.4,36.48062639562812,127,109,-18
120,KhaDarel Hodge,32.1,32.26390179043756,111,110,-1
106,Braxton Berrios,0.0,31.946153752480086,165,111,-54
113,Kadarius Toney,-2.4,31.461321030452645,185,112,-73
122,Parker Washington,97.0,31.05318579567814,71,113,42
90,Isaiah Hodgins,3.2,30.952637241839348,155,114,-41
127,Robbie Chosen,1.5,28.7357579448908,162,115,-47
